,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,release_action,release_tag_name,release_name,release_body
97,ReleaseEvent,2021-04-09 10:46:38+00:00,62349251,dgraph-io/pydgraph,4118783,anurags92,13958706,dgraph-io,published,v21.03.0,v21.03.0,"## Added
- Logging in to namespace [[167](https://github.com/dgraph-io/pydgraph/pull/167)]
- Add response type [[165](https://github.com/dgraph-io/pydgraph/pull/165)]
- Hash to response and txn context. [[168](https://github.com/dgraph-io/pydgraph/pull/168)]
- Deprecation messaged for Slash Endpoint [[168](https://github.com/dgraph-io/pydgraph/pull/168)]"
369,ReleaseEvent,2022-08-17 13:45:28+00:00,70704345,openedx/edx-enterprise,106396899,bilaltahir21,40179672,openedx,published,3.56.4,open redirect url whitelisting for data sharing consent and change enterprise page,fix: open redirect url whitelisting for data sharing consent and change enterprise page
488,ReleaseEvent,2021-07-07 02:28:12+00:00,127320882,tortoise/tortoise-orm,13377178,long2ice,42678965,tortoise,published,0.17.5,0.17.5,"- Set `field_type` of fk and o2o same to which relation field type. (#443)
- Fix error sql for `.sql()` call more than once. (#796)
- Fix incorrect splitting of the import route when using Router (#798)
- Fix `filter` error after `annotate` with `F`. (#806)
- Fix `select_related` for reverse relation. (#808)"
583,ReleaseEvent,2022-11-04 15:24:33+00:00,126029888,amadeus4dev/amadeus-python,15012967,tsolakoua,36638275,amadeus4dev,published,v7.1.0,v7.1.0,"7.1.0 - 2022-11-04
--------------------
Add support for [Travel Restrictions v2 API](https://developers.amadeus.com/self-service/category/covid-19-and-travel-safety/api-doc/travel-restrictions/api-reference)

Bug fix in pagination

Add SonarCloud support"
844,ReleaseEvent,2022-08-26 10:06:33+00:00,436970140,pypa/distlib,130553,vsajip,647025,pypa,published,0.3.6,Bug-fix / Minor Enhancements Release,"*  Fixed #175: Updated launcher executables to better handle the relationship between launcher and child process in the Job API.

Though no changes have been made to `distlib` code since the previous release, this release is to facilitate vendoring into `pip`.

Releases are normally signed using a GnuPG key with the user id [vinay_sajip@yahoo.co.uk](mailto:vinay_sajip%40yahoo.co.uk) and the following fingerprint:

CA74 9061 914E AC13 8E66 EADB 9147 B477 339A 9B86"
1109,ReleaseEvent,2023-06-30 22:18:13+00:00,125381318,Trusted-AI/adversarial-robustness-toolbox,49047826,beat-buesser,56103733,Trusted-AI,published,1.15.0,ART 1.15.0,"This release of ART 1.15.0 introduces 

# Added

- Added default training function to `TensorFlowV2Classifier` (#2124)
- Added TRADES adversarial training protocol in PyTorch (#2131)
- Added preprocessors for images supporting padding and resizing in PyTorch, TensorFlow and framework-independent (#2138)
- Added support for arbitrarily sized images in `BadDet` poisoning attacks (#2189)
- Added estimator for DEtection TRansformer (DETR) object detection models based on transformer architectures (#2192)

# Changed

- Changed PyTorch estimators to use PyTorch datasets and dataloaders to optimize the `fit` and `predict` methods for `PyTorchClassifier`, `PyTorchRegressor`, `PyTorchRandomizedSmoothing`, `PyTorchObjectDetector`, and `PyTorchYolo`  and optimized the `predict` method of `TensorFlowV2Classifier` by using a TensorFlow dataset and applying @tf.function decorator (#2180)
- Changed `PyTorchObjectDetector` to apply `channels_first` argument  and improved performance by applying batch processing provided by newer PyTorch versions. (#2180)

# Removed

[None] 

# Fixed

- Fixed unnecessary duplicate prediction calls to estimator in `SignOPTAttack` (#2129)
- Fixed missing transfer of tensor to device in `ProjectedGradientDescentPyTorch` (#2135)
- Fixed trigger placement for image poisoning perturbations by correctly accessing height and width of the trigger image instead of swapping both (#2143)
- Fixed key error in loss gradients of `PyTorchYolo` estimator and updated format of targets passed to the estimator in `AdversarialPatchPyTorch` to reflect updates to `PyTorchYolo`(#2169)
- Fixed Visible Deprecation Warning in `analyze_by_distance` and `analyze_by_size` of `ClusteringAnalyzer` (#2195)
"
1339,ReleaseEvent,2021-08-09 22:04:20+00:00,81689370,arraylabs/pymyq,14928070,ehendrix23,,,published,v3.1.1,v3.1.1,"- Allow login to check for authentication only without retrieving account and device information
- Also set user agent if error code 54 (connection reset by peer) occurred 
- Do not set user agent unless error occurred on retrieval of page"
1477,ReleaseEvent,2023-06-20 15:46:40+00:00,57308172,mParticle/mparticle-python-sdk,49695018,alexs-mparticle,7572762,mParticle,published,v0.16.1,Version 0.16.1,* Add integration attributes to sdk (#26)
1523,ReleaseEvent,2023-05-26 14:28:45+00:00,43677177,AMICI-dev/AMICI,18048784,dweindl,68919097,AMICI-dev,published,v0.18.0,AMICI v0.18.0,"**Features**
* More efficient handling of splines in SBML models
  by @paulstapor, @lcontento, @dweindl in https://github.com/AMICI-dev/AMICI/pull/1515
* Partial support of current PEtab2.0 draft, including support for PySB models
  by @dweindl, @FFroehlich in https://github.com/AMICI-dev/AMICI/pull/1800

**Fixes**
* **Fixed incorrect forward sensitivities for models with events with state-dependent trigger functions**
  by @dweindl in https://github.com/AMICI-dev/AMICI/pull/2084
* Model import: Don't create spl.h and sspl.h for models without splines
  by @dweindl in https://github.com/AMICI-dev/AMICI/pull/2088
* SBML import - faster processing of SpeciesReference IDs
  by @dweindl in https://github.com/AMICI-dev/AMICI/pull/2094
* Update swig ignores
  by @FFroehlich in https://github.com/AMICI-dev/AMICI/pull/2098
* CMake: Fixed choosing SWIG via `SWIG` env variable
  by @dweindl in https://github.com/AMICI-dev/AMICI/pull/2100
* CMake: Try FindBLAS if no other information was provided
  by @dweindl in https://github.com/AMICI-dev/AMICI/pull/2104
* Fixed cblas error for models without solver states in combination with forward sensitivities
  by @dweindl in https://github.com/AMICI-dev/AMICI/pull/2108
* Fixed compilation error for models with events and xdot=0
  by @dweindl in https://github.com/AMICI-dev/AMICI/pull/2111
* Fixed import error for models with events and 0 states
  by @dweindl in https://github.com/AMICI-dev/AMICI/pull/2112

**Full Changelog**: https://github.com/AMICI-dev/AMICI/compare/v0.17.1...v0.18.0
"
1686,ReleaseEvent,2021-11-15 20:16:57+00:00,120950888,bimmerconnected/bimmer_connected,42204099,rikroe,53658066,bimmerconnected,published,0.8.0b7,BETA for MyBMW API: Fix vehicle updates + cli image command,"- Fix vehicles not updating in Home Assistant (status was not overwritten but appended)
- Fix cli `image` command
- 
Please see previous changelogs as well:
- https://github.com/bimmerconnected/bimmer_connected/releases/tag/0.8.0b6
- https://github.com/bimmerconnected/bimmer_connected/releases/tag/0.8.0b5
- https://github.com/bimmerconnected/bimmer_connected/releases/tag/0.8.0b4
- https://github.com/bimmerconnected/bimmer_connected/releases/tag/0.8.0b2 (includes **breaking changes**)"
