,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,issue_id,issue_comment_id,issue_comment_body,issue_comment_reactions,actor_repo_association,actor_type,actor_site_admin_status
11,IssueCommentEvent,2017-03-14 16:14:34+00:00,7470121,wuub/rxv,1681077,HerrHofrat,,,204431787,286473088,"I've tested your branch today - you're right - my scene selection didn't work well - apologies for that, seems I've commited a wrong revision. Seems like the receiver just returns the input for the scene - I also get AV4 when I set the scene to TV. Besides from that, everything else is working fine! I now committed the xml files from the rx-v775 - in case you need it for testing!

",{},,User,False
23,IssueCommentEvent,2017-12-20 02:49:08+00:00,8387179,uiri/toml,11096690,evilplanet,,,262055599,352949738,It seems releasing 0.9.4 would help in case of Zappa.,{},NONE,User,False
27,IssueCommentEvent,2015-01-30 16:45:20+00:00,8387179,uiri/toml,364765,uiri,,,55925668,72230630,"This change breaks python3 compatibility.
This change fails the unicode-escape test:

```
UnicodeEncodeError: 'ascii' codec can't encode character u'\u03b4' in position 0: ordinal not in range(128)
```

I would like to return unicode instead of str in python2, but it is difficult to do so while maintaining python3 compatibility.",{},,User,False
28,IssueCommentEvent,2017-09-28 03:13:45+00:00,8387179,uiri/toml,364765,uiri,,,251522264,332715784,"Whoops, you're right. I need to use `unicode` instead.

There is a bit of hacky code at the top of the module which makes that work on both python 2 and python 3.",{},OWNER,User,False
30,IssueCommentEvent,2015-07-10 10:08:57+00:00,1673145,FSX/misaka,64273,FSX,,,91980604,120341284,"It's because of the indent. The following should work:

```html
{% filter markdown %}
{{exhibition.wysiwig_exhibition_description}}
{% endfilter %}
```

Flask-Misaka captures everything in the filter tag, including whitespace.",{},,User,False
31,IssueCommentEvent,2017-01-15 19:25:09+00:00,1673145,FSX/misaka,64273,FSX,,,187417511,272717324,Added to docs.,{},,User,False
37,IssueCommentEvent,2015-05-20 15:37:11+00:00,2918192,epsy/clize,198792,karanparikh,,,77205501,103929822,"Looks good to me. I will update my fork to pull in your changes, add myself to the AUTHORS file and send out a new diff later tonight.",{},,User,False
39,IssueCommentEvent,2015-06-14 11:13:33+00:00,25983331,fnl/segtok,109501,fnl,,,88145513,111813216,"Yes, and that's what you would expect from a correct tokenizer. Check the
Penn PoS tags, this tokenization strategy is the de facto standard.

Florian
On Jun 14, 2015 10:14 AM, ""dineshbvadhia"" <notifications@github.com> wrote:

> Ran the simple
>
> segmenter data | tokenizer
>
> and noticed that currency values split from the currency symbol eg. $4.12
> -> $ 4.12. Similarly for percentages eg. %7.1 -> % 7.1.
>
> —
> Reply to this email directly or view it on GitHub
> <https://github.com/fnl/segtok/issues/5>.
>
",{},,User,False
45,IssueCommentEvent,2017-09-21 12:32:21+00:00,68802946,h2non/pook,19695060,tomas-fp,,,223766303,331142442,`aiohttp v2` seems to be transparently supported.,{},CONTRIBUTOR,User,False
48,IssueCommentEvent,2017-10-03 10:30:41+00:00,68802946,h2non/pook,63402,h2non,,,262254819,333802526,"Thanks for reporting. This should be fixed in `v0.2.4`. Please, upgrade it running:
```bash
pip install --upgrade pook
```",{},OWNER,User,False
63,IssueCommentEvent,2018-07-28 18:54:13+00:00,55258005,jopohl/urh,18219846,jopohl,,,345470188,408628077,"Yes indeed. They now enforce a required e-mail address or else the upload will fail with:
```
HTTPError: 400 Client Error: User 'jopohl' does not have a verified primary email address. Please add a verified primary email before attempting to upload to PyPI. See https://pypi.org/help/#verified-email for more information.for more information. for url: https://upload.pypi.org/legacy/
```

Just verified my e-mail and reuploaded it. Thanks for bringing this up!",{},OWNER,User,False
68,IssueCommentEvent,2017-09-20 21:14:08+00:00,55258005,jopohl/urh,20975463,romeojulietthotel,,,253526856,330982927,"Will try this out as soon as I can. Thanks for all your efforts.  I have been doing a clean up of my environment since it was getting too fragmented and so nothing's as it was. 

I was successful building gnuradio.git/soapy/limesuite and that is the hard part, so next I will work on urh.",{},NONE,User,False
72,IssueCommentEvent,2017-02-25 11:44:30+00:00,55258005,jopohl/urh,3453121,cimba007,,,210227182,282478775,Very nice work you guys put up there. Keep it going!!!,{},,User,False
78,IssueCommentEvent,2017-04-27 07:05:52+00:00,55258005,jopohl/urh,883534,ngmacha,,,223365279,297630065,"Thanks @jopohl , and sorry for delayed response, I'm down with a terrible flu... 
Your ToDo looks covered all. Maybe only the clarification for p.4 is to add something like ""go to upper folder"" will do...
 And I already see the horizontal scroll in 1.6.2.6, helps lot!

",{},,User,False
95,IssueCommentEvent,2017-06-01 17:47:38+00:00,65411376,lacava/few,6578458,lacava,,,232520320,305568479,commit 2369992451035e6f177124b914bfc07756e7b88b updates the README to suggest the installation order above.,{},,User,False
102,IssueCommentEvent,2016-09-20 17:43:47+00:00,41905591,Ch00k/ffmpy,230214,Ch00k,,,178119661,248376407,"@busla Thanks for reporting! I can see why and where it fails, will try to find the best solution to fix that. In the meantime, a quick workaround would be to use a single string for `global_options`.
```
ff_probe = ffmpy.FFprobe(
    inputs = {'myurl': None},
    global_options = '-print_format json -show_format -show_streams'
)
```",{},,User,False
