,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_id,pr_node_id,pr_title,pr_state,pr_locked,pr_number,pr_body,pr_issue_url,pr_merged_at,pr_closed_at,pr_updated_at,pr_commits,pr_additions,pr_deletions,pr_changed_files,pr_author_association,pr_assignees,pr_requested_reviewers,pr_requested_teams,pr_merged_by_login,pr_merged_by_id,pr_merged_by_type,pr_merged_by_site_admin,pr_label,pr_patch_url,pr_commits_url,partition,commit_list
2,PullRequestEvent,2015-04-01 21:36:21+00:00,20513123,kn/slack,33226,huyhong,,,32463383,,Properly update version to 0.2.0,open,False,10,,https://api.github.com/repos/kn/slack/issues/10,,,2015-04-01T21:36:21Z,1,1,1,1,[],[],[],[],,,,,[],https://github.com/kn/slack/pull/10.patch,https://api.github.com/repos/kn/slack/pulls/10/commits,301,['c677b62ab6ea24c64ce0e63f0aa31b0c0b15e88e']
13,PullRequestEvent,2016-04-28 19:42:46+00:00,2782546,hobu/mgrs,87751,hobu,,,47905417,,Fix how libmgrs.so is imported if installing with Python 3.5.,closed,False,10,"I tried installing the original mgrs from hobu's repo with Python 3.5 but it couldn't find the libmgrs.so library. I later realized that I had broken the installation for Python2.7, but just fixed it in the latest commit of this branch. ",https://api.github.com/repos/hobu/mgrs/issues/10,2016-04-28T19:42:46Z,2016-04-28T19:42:46Z,2016-04-28T19:42:46Z,2,23,20,1,[],[],[],[],hobu,87751.0,User,False,[],https://github.com/hobu/mgrs/pull/10.patch,https://api.github.com/repos/hobu/mgrs/pulls/10/commits,301,"['8310b6800836d20808e9e5cb4301ab75a8a0202a', '13757099cd7eaacfc58c81d6e425a9576b1db429']"
57,PullRequestEvent,2018-04-06 10:15:09+00:00,55258005,jopohl/urh,18219846,jopohl,,,179897750,,Improve simulator useability,closed,False,422,"- [x] save adaptive noise setting
- [x] add saved captured files to recent files",https://api.github.com/repos/jopohl/urh/issues/422,2018-04-06T10:15:09Z,2018-04-06T10:15:09Z,2018-04-06T10:15:09Z,2,9,1,4,OWNER,[],[],[],jopohl,18219846.0,User,False,[],https://github.com/jopohl/urh/pull/422.patch,https://api.github.com/repos/jopohl/urh/pulls/422/commits,301,"['32a90a49ab7f472c0dd37ec24f848e6bca70fdeb', '9e54a44a8cfba1f3b5efcc97e3415f4731b16667']"
96,PullRequestEvent,2017-08-17 12:14:03+00:00,74004167,Kyria/EsiPy,1838373,Kyria,,,136241882,,Better caching tests + Fix RedisCache,open,False,18,"* Fix coverage
* Fix small bug in RedisCache
* Stronger tests for caching (using multiple types: str, int and namedtuple)
* CI is now using travis services (redis and memcached) instead of mocking them (it's CI, not unit testing)",https://api.github.com/repos/Kyria/EsiPy/issues/18,,,2017-08-17T12:14:03Z,2,117,33,3,[],[],[],[],,,,,[],https://github.com/Kyria/EsiPy/pull/18.patch,https://api.github.com/repos/Kyria/EsiPy/pulls/18/commits,301,"['9272a76e773798fd8858131fdceac23bd0950089', 'eefa49c4f62fc785afc5c3c274f912beac10d835']"
100,PullRequestEvent,2017-09-03 13:07:16+00:00,18603138,WoLpH/mt940,524304,fHachenberg,,,139046756,,correct invalid february 29th as well,open,False,45,"I recently stumbled across transaction data (from my German bank) which was entered on February 29th 2017 (2017 is not a leap year). In the printout from my bank, the entry date was given as February 28th.

So I generalized the preprocessing step to handle February 29th in non-leap years. ",https://api.github.com/repos/WoLpH/mt940/issues/45,,,2017-09-03T13:07:16Z,1,5,4,1,NONE,[],[],[],,,,,[],https://github.com/WoLpH/mt940/pull/45.patch,https://api.github.com/repos/WoLpH/mt940/pulls/45/commits,301,['b76831ce1f60f414e05b210edeb57bbfc127245d']
111,PullRequestEvent,2017-11-30 21:36:51+00:00,93209191,cemsbr/yala,16239342,pyup-bot,,,155725425,,Update pip-tools to 1.11.0,open,False,29,"
There's a new version of [pip-tools](https://pypi.python.org/pypi/pip-tools) available.
You are currently using **1.10.2**. I have updated it to **1.11.0**



These links might come in handy:  <a href=""https://pypi.python.org/pypi/pip-tools"">PyPI</a> | <a href=""https://pyup.io/changelogs/pip-tools/"">Changelog</a> | <a href=""https://github.com/jazzband/pip-tools/"">Repo</a> 



### Changelog
> 
>### 1.11.0


>Features:
>- Allow editable packages in requirements.in with `pip-compile --generate-hashes` ([524](https://github.com/jazzband/pip-tools/pull/524)). Thanks jdufresne
>- Allow for CA bundles with `pip-compile --cert` ([612](https://github.com/jazzband/pip-tools/pull/612)). Thanks khwilson
>- Improved `pip-compile` duration with large locally available editable requirement by skipping a copy to the cache
>([583](https://github.com/jazzband/pip-tools/pull/583)). Thanks costypetrisor
>- Slightly improved the `NoCandidateFound` error message on potential causes ([614](https://github.com/jazzband/pip-tools/pull/614)). Thanks vphilippon

>Bug Fixes:
>- Add `-markerlib` to the list of `PACKAGES_TO_IGNORE` of `pip-sync` ([613](https://github.com/jazzband/pip-tools/pull/613)).







*Got merge conflicts? Close this PR and delete the branch. I'll create a new PR for you.*

Happy merging! 🤖
",https://api.github.com/repos/cemsbr/yala/issues/29,,,2017-11-30T21:36:50Z,1,1,1,1,CONTRIBUTOR,[],[],[],,,,,[],https://github.com/cemsbr/yala/pull/29.patch,https://api.github.com/repos/cemsbr/yala/pulls/29/commits,301,['33ce3c27775ab79a7f33710b0a84906b65fa0df5']
142,PullRequestEvent,2017-05-13 15:03:21+00:00,9896961,dbrgn/RPLCD,105168,dbrgn,,,120451424,,Remove default for i2c_expander parameter,open,False,55,"I've decided to remove the default for the `i2c_expander` parameter. People should be forced to check which expander they have.

While this is a breaking change, that's fine for the 1.0.0 release.",https://api.github.com/repos/dbrgn/RPLCD/issues/55,,,2017-05-13T15:03:21Z,1,22,26,7,[],[],[],[],,,,,[],https://github.com/dbrgn/RPLCD/pull/55.patch,https://api.github.com/repos/dbrgn/RPLCD/pulls/55/commits,301,['c94eb7c34658102f85cab5a7164c7c464d07c137']
220,PullRequestEvent,2017-06-24 12:54:45+00:00,95264151,gabfl/vault,8358050,gabfl,,,127329052,,"Dedicated menu for secrets, 'edit' feature, auto-erase passwords from…",closed,False,1," - Dedicated menu for secrets
 - `edit` feature (allow to change category, name, login, password and notes)
 - Auto erase passwords sent to StdOut after X seconds
 - Option to customize auto-erase delay
 - Catch `Ctrl`+`c` on inputs to send user back to main menu",https://api.github.com/repos/gabfl/vault/issues/1,2017-06-24T12:54:45Z,2017-06-24T12:54:45Z,2017-06-24T12:54:45Z,2,251,55,5,[],[],[],[],gabfl,8358050.0,User,False,[],https://github.com/gabfl/vault/pull/1.patch,https://api.github.com/repos/gabfl/vault/pulls/1/commits,301,"['717fdce58da9163a49d70b3a68b56dc0c281e53e', '5ffd573c78cbca3114314dcbcf5fe1ab96017a89']"
231,PullRequestEvent,2016-02-17 13:33:23+00:00,1258258,gotcha/ipdb,120118,emulbreh,,,59643941,,Don't pass sys.argv to IPython for configuration,open,False,80,TerminalIPythonApp.initialize chokes on sys.argv if the process isn't an IPython shell.,https://api.github.com/repos/gotcha/ipdb/issues/80,,,2016-02-17T13:33:23Z,1,1,1,1,[],[],[],[],,,,,[],https://github.com/gotcha/ipdb/pull/80.patch,https://api.github.com/repos/gotcha/ipdb/pulls/80/commits,301,['10cdf15f274369acb912cb0079bdfa663db3a310']
232,PullRequestEvent,2017-07-07 04:48:21+00:00,65468547,jd/tenacity,15200179,Brian-Williams,,,129328972,,Retry until exception type,open,False,79,"Add complement for retry_if_exception_type, which performs the inverse operation of ignoring all results and exceptions until an exception is hit.

Feel free to change name of the class. Also, I understand if this is superfluous and is closed. I needed it in a very specific use case and it may not be useful to others.",https://api.github.com/repos/jd/tenacity/issues/79,,,2017-07-07T04:48:20Z,5,86,4,3,[],[],[],[],,,,,[],https://github.com/jd/tenacity/pull/79.patch,https://api.github.com/repos/jd/tenacity/pulls/79/commits,301,['2a75895bdc84d396771d042ead09319af09e4f34']
238,PullRequestEvent,2016-08-29 01:51:24+00:00,65468547,jd/tenacity,970458,harlowja,,,83035360,,Add a useful __repr__,open,False,21,,https://api.github.com/repos/jd/tenacity/issues/21,,,2016-08-29T01:51:24Z,1,17,0,2,[],[],[],[],,,,,[],https://github.com/jd/tenacity/pull/21.patch,https://api.github.com/repos/jd/tenacity/pulls/21/commits,301,['ee008560554ec4bf458d60aee981b844d8815d50']
275,PullRequestEvent,2016-05-29 14:52:06+00:00,59824305,mottosso/Qt,2152766,mottosso,,,71829164,,Cosmetics and #10,open,False,17,Here's an alternative to #10 and #9.,https://api.github.com/repos/mottosso/Qt/issues/17,,,2016-05-29T14:52:06Z,1,61,32,1,[],[],[],[],,,,,[],https://github.com/mottosso/Qt/pull/17.patch,https://api.github.com/repos/mottosso/Qt/pulls/17/commits,301,['7920ced59274258fb76f6d62a35267578a21c778']
290,PullRequestEvent,2017-03-09 23:32:36+00:00,68929937,slank/awsgi,857609,adamchainz,,,110029862,,Use 'default' argument to 'get',open,False,2,More idiomatic,https://api.github.com/repos/slank/awsgi/issues/2,,,2017-03-09T23:32:36Z,1,1,1,1,[],[],[],[],,,,,[],https://github.com/slank/awsgi/pull/2.patch,https://api.github.com/repos/slank/awsgi/pulls/2/commits,301,['12b0cae7c6d2cdf87f8501c1429fe755befc9e1c']
292,PullRequestEvent,2016-11-16 09:51:01+00:00,1670404,smira/txZMQ,55211,smira,,,93866672,,Attempt to fix reactor.crash not terminating the loop.,closed,False,71,,https://api.github.com/repos/smira/txZMQ/issues/71,2016-11-16T09:51:01Z,2016-11-16T09:51:01Z,2016-11-16T09:51:01Z,1,6,2,1,[],[],[],[],smira,55211.0,User,False,[],https://github.com/smira/txZMQ/pull/71.patch,https://api.github.com/repos/smira/txZMQ/pulls/71/commits,301,['95d51a1b021492f53d964ff5c5158996b0507f86']
328,PullRequestEvent,2017-08-11 13:44:05+00:00,11737385,Dav1dde/glad,255721,Dav1dde,,,131199121,,Added EGL runtime extension flags support,closed,False,98,"I had some spare time today to look at issue #96 a bit. I'm not terribly familiar with the project so I'm not sure if this was the best approach but it does seem to work -- at least in an EGL project of mine.

The tricky thing was that in EGL you need an EGLDisplay if you want to get the list of extensions. So I had to augment the generated loaders to require the user to pass the display. Below is an example of its use:

```cpp
EGLDisplay display = eglGetDisplay(EGL_DEFAULT_DISPLAY);
eglInitialize(display, 0, 0);

if (!gladLoadEGL(display)) {
  fprintf(stderr, ""Unable to load EGL via GLAD!\n"");
  return;
}

printf(""EGL_KHR_get_all_proc_addresses? %d\n"", GLAD_EGL_KHR_get_all_proc_addresses);
printf(""EGL_KHR_swap_buffers_with_damage? %d\n"", GLAD_EGL_KHR_swap_buffers_with_damage);
printf(""EGL_KHR_gl_colorspace (build support)? %d\n"", EGL_KHR_gl_colorspace);
printf(""EGL_KHR_gl_colorspace (runtime support)? %d\n"", GLAD_EGL_KHR_gl_colorspace);
```

And this is the command I used to generate the stubs:

    $ python3 -m glad --out-path /tmp/glad --api 'egl=1.4' --generator c --spec egl

Thanks",https://api.github.com/repos/Dav1dde/glad/issues/98,,2017-08-11T13:44:05Z,2017-08-11T13:44:05Z,1,49,12,2,[],[],[],[],,,,,[],https://github.com/Dav1dde/glad/pull/98.patch,https://api.github.com/repos/Dav1dde/glad/pulls/98/commits,301,['82c10f37e56d1e40a8411db14c639521e8e81fee']
338,PullRequestEvent,2017-02-25 18:36:39+00:00,20857415,Kuniwak/vint,161618,eprikazc,,,107971573,,Update link to Google Vimscript Style Guide,open,False,207,Link to Google Vimscript Style Guide seems to be broken (gives 404). This change updates the link,https://api.github.com/repos/Kuniwak/vint/issues/207,,,2017-02-25T18:36:39Z,1,1,1,1,[],[],[],[],,,,,[],https://github.com/Kuniwak/vint/pull/207.patch,https://api.github.com/repos/Kuniwak/vint/pulls/207/commits,301,['9e86e6198137236964ec486f1fdf6a3242bee85e']
339,PullRequestEvent,2015-01-05 14:23:18+00:00,20857415,Kuniwak/vint,1124024,Kuniwak,,,26814387,,Function can be declared only global or scirpt local,closed,False,93,Related: #95 ,https://api.github.com/repos/Kuniwak/vint/issues/93,2015-01-05T14:23:17Z,2015-01-05T14:23:17Z,2015-01-05T14:23:17Z,7,105,253,24,[],[],[],[],Kuniwak,1124024.0,User,False,[],https://github.com/Kuniwak/vint/pull/93.patch,https://api.github.com/repos/Kuniwak/vint/pulls/93/commits,301,"['d1f117aef77084101b6b21bb595b27c47800ed91', '14c343a881f10487a3d7426522f406e97f008c0a', 'f0375d131981cc3abc0732186e23eba7bfe46935', '6e735cdb7743e2449e827d0812c63e2ed48bec3a', 'a0135641b3ad646c24f6320de8326afd302c35ee', '6e277b95da257014950a15be65f927279abcdd37', '59b4dcb54d3878d4dfa32f58e3aa2e73b75822b6']"
437,PullRequestEvent,2016-11-17 21:12:25+00:00,5021892,hgrecco/pint,278566,hgrecco,,,94251503,,Develop,open,False,459,,https://api.github.com/repos/hgrecco/pint/issues/459,,,2016-11-17T21:12:25Z,2,6,3,2,[],[],[],[],,,,,[],https://github.com/hgrecco/pint/pull/459.patch,https://api.github.com/repos/hgrecco/pint/pulls/459/commits,301,"['2fa76c2cfd1eed97e0b4ec8132433d2e720f4e54', 'fdab9d96ef54cb0f7b09e38963a19c5526b615f8', 'd66de6985f14f002a504005561f00862fe4df2f0']"
440,PullRequestEvent,2018-06-21 14:46:18+00:00,6662075,joke2k/faker,89607,fcurella,,,196477708,MDExOlB1bGxSZXF1ZXN0MTk2NDc3NzA4,Close #408. Cap years to 9999 to support 32-bit platforms,open,False,776,,https://api.github.com/repos/joke2k/faker/issues/776,,,2018-06-21T14:46:18Z,1,3,3,1,COLLABORATOR,[],[],[],,,,,[],https://github.com/joke2k/faker/pull/776.patch,https://api.github.com/repos/joke2k/faker/pulls/776/commits,301,['89e4b3bd5282e74bddd78188a20205b3685c77dc']
