,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,issue_id,issue_comment_id,issue_comment_body,issue_comment_reactions,actor_repo_association,actor_type,actor_site_admin_status
2,IssueCommentEvent,2018-01-18 23:03:44+00:00,73567304,ofek/bit,16790483,ateesdalejr,,,265605565,358811805,@gbroiles thanks for this! I'm not currently using this library at the moment but this is exactly what I needed.,{},NONE,User,False
6,IssueCommentEvent,2016-03-09 14:54:13+00:00,2782546,hobu/mgrs,3344634,luipir,,,139592302,194330343,"How sorry I didn't realised

thank you",{},,User,False
11,IssueCommentEvent,2017-09-30 01:36:10+00:00,8387179,uiri/toml,364765,uiri,,,261705497,333273015,Oh cool! Thanks for the patch!,{},OWNER,User,False
27,IssueCommentEvent,2017-04-16 17:49:13+00:00,55258005,jopohl/urh,18219846,jopohl,,,222009062,294364622,"I just released version 1.6.2.3, so you can also try again with pip3.",{},,User,False
37,IssueCommentEvent,2017-07-06 07:41:38+00:00,55258005,jopohl/urh,11001973,vsboost,,,240807865,313321056,Wish i knew...,{},,User,False
41,IssueCommentEvent,2017-12-15 14:05:51+00:00,10156090,klen/mixer,2354108,coveralls,,,282298785,352013651,"
[![Coverage Status](https://coveralls.io/builds/14674876/badge)](https://coveralls.io/builds/14674876)

Coverage increased (+0.7%) to 85.197% when pulling **be9dc2198100a6e993653d523d525edc9292389a on Fingel:develop** into **ba46cad4a89f11a11f80cf5835fcf0ccb5e2e625 on klen:develop**.
",{},NONE,User,False
50,IssueCommentEvent,2017-04-03 11:35:11+00:00,20479128,amol-/depot,635911,vlcinsky,,,218904630,291117991,"## Intentionally not using `make`
Calling directly `sphinx-build` to make the build simpler to run on MS Windows, where `make` is not often installed.

## How to build other types of documentation?

```
$ tox -e docs
$ source .tox/docs/bin/activate
(docs)$ cd docs
(docs)$ make pdf
```
Shall we put this (for some obvious) instruction into README.rst?",{},,User,False
52,IssueCommentEvent,2015-06-12 14:31:41+00:00,4652550,avanov/Plim,1227139,kxxoling,,,60302066,111513281,"Because RTFD seems not supporting rename project, I'm trying to delete it and re-add it. I'd like to rename it to plim-chs, which is short for Chinese Simplified, and won't be confused with Chinese Traditional, Chinese Wu, Chinese Yue.",{},,User,False
75,IssueCommentEvent,2017-05-15 08:12:32+00:00,9896961,dbrgn/RPLCD,105168,dbrgn,,,228609957,301406571,"Yes, ideally we have 1 script for all of them, but initially just combining the 16x2 and 40x2 are enough.

> On the other hand I think show_charmap.py has some problems on 40x2 displaying first page reverse.

Is it possible that the memory layout of the 40x2 display is done in a way that characters are first written to the lower line, then to the upper line?",{},,User,False
81,IssueCommentEvent,2018-03-14 15:52:41+00:00,48198706,dschep/ntfy,2354108,coveralls,,,305216673,373072073,"
[![Coverage Status](https://coveralls.io/builds/15973064/badge)](https://coveralls.io/builds/15973064)

Coverage remained the same at 83.387% when pulling **45eeb6fef742729f965de5efeddbf3b67dca6f2d on jeffgreenca:master** into **bd06e7f89f54f4582f46ee1865df221d6a1cc181 on dschep:master**.
",{},NONE,User,False
