,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,issue_action,issue_title,issue_labels,issue_assignees,issue_count,issue_body,issue_reactions,issue_reason
4,IssuesEvent,2017-03-20 01:40:54+00:00,73567304,ofek/bit,9677399,ofek,,,closed,TypeError: string indices must be integers,[],[],1,"Hi,

Just to test your lib and how it s handle error and refuse from service use to get balance, i just executed the following code, once you reach quota limit of services API the error appear.

```python
>>> import bit
>>> while True:
...   k = bit.Key()
...   if k.get_balance() != '0':
...     print(k.to_wif())
... 
Traceback (most recent call last):
  File ""<stdin>"", line 3, in <module>
  File ""/usr/local/lib/python3.5/dist-packages/bit/wallet.py"", line 190, in get_balance
    self.get_unspents()
  File ""/usr/local/lib/python3.5/dist-packages/bit/wallet.py"", line 198, in get_unspents
    self.unspents[:] = NetworkAPI.get_unspent(self.address)
  File ""/usr/local/lib/python3.5/dist-packages/bit/network/services.py"", line 421, in get_unspent
    return api_call(address)
  File ""/usr/local/lib/python3.5/dist-packages/bit/network/services.py"", line 41, in get_unspent
    for tx in r.json()
  File ""/usr/local/lib/python3.5/dist-packages/bit/network/services.py"", line 41, in <listcomp>
    for tx in r.json()
TypeError: string indices must be integers```",{},{}
27,IssuesEvent,2016-06-25 01:40:31+00:00,2792391,gruns/furl,1041265,gruns,,,closed,No tags,[],[],1,It'd be great if you tagged release commits please and push them to GitHub - would make looking at change deltas substantially easier!,{},{}
36,IssuesEvent,2015-11-20 14:47:09+00:00,46566669,jaraco/irc,308610,jaraco,,,closed,client crashes on EINTR,[],[],0,"I have been using irclib to build an irc bot daemon, but after I handle any signal, process_forever of client.py raises an InterruptedSystemCall exception. I traced the source down to the [select.select statement in process_once](https://bitbucket.org/jaraco/irc/src/5fb84776e69a3a5fe4f3e34f27571d3b575f2fab/irc/client.py?at=default#cl-247). The select() system call always returns EINTR whenever it's interrupted by any signal (even ignoring siginterrupt), and for some reason the Python select library chose not to handle this by retrying, instead simply reraising the exception for the user.

There's nothing for an irclib user to do but to let process_forever die and restart the entire client (or maybe there's some weird hack around it?), but this is a fixable issue in the library if the select.select is wrapped in something like:


```
#!python

while 1:
  try:
    (i, o, e) = select.select(sockets, [], [], timeout)
    break
  except select.error as e
    if e[0] != errno.EINTR: raise
```

----------------------------------------
- Bitbucket: https://bitbucket.org/jaraco/irc/issue/36
- Originally reported by: Anonymous
- Originally created at: 2014-01-13T19:37:25.923
",{},{}
37,IssuesEvent,2015-11-20 14:39:24+00:00,46566669,jaraco/irc,308610,jaraco,,,closed,"Library violates end-to-end principle, leading to needless errors",[],[],1,"Deployed in irker, the library blew up when an IRC server instance passed it dara that contained an invalid continuation byte. A UnicodeDecodeError was raised inside the LineBuffer object, aborting one of the main processing threads and hanging the daemon.

The correct fix is for the IRC library not to care about or mess with the encoding of the data that passes through it. Knowledge of that semantics belongs to the calling application and only to the calliung application.

----------------------------------------
- Bitbucket: https://bitbucket.org/jaraco/irc/issue/5
- Originally reported by: Anonymous
- Originally created at: 2012-10-12T06:43:23.732
",{},{}
53,IssuesEvent,2017-01-16 13:02:20+00:00,55258005,jopohl/urh,24651016,splotz90,,,opened,Add broadcast participant to Project Manager dialog,[],[],0,"- [ ] make it possible to assign an address to the broadcast participant
- [ ] mark the broadcast participant as special participant (on source code level)",{},{}
80,IssuesEvent,2016-12-15 10:41:15+00:00,55258005,jopohl/urh,18283204,andynoack,,,opened,Type for Labels,"[{'id': 385346262, 'url': 'https://api.github.com/repos/jopohl/urh/labels/critical', 'name': 'critical', 'color': 'b60205', 'default': False}, {'id': 351288960, 'url': 'https://api.github.com/repos/jopohl/urh/labels/feature', 'name': 'feature', 'color': '84b6eb', 'default': False}]","[{'login': 'jopohl', 'id': 18219846, 'avatar_url': 'https://avatars.githubusercontent.com/u/18219846?v=3', 'gravatar_id': '', 'url': 'https://api.github.com/users/jopohl', 'html_url': 'https://github.com/jopohl', 'followers_url': 'https://api.github.com/users/jopohl/followers', 'following_url': 'https://api.github.com/users/jopohl/following{/other_user}', 'gists_url': 'https://api.github.com/users/jopohl/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/jopohl/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/jopohl/subscriptions', 'organizations_url': 'https://api.github.com/users/jopohl/orgs', 'repos_url': 'https://api.github.com/users/jopohl/repos', 'events_url': 'https://api.github.com/users/jopohl/events{/privacy}', 'received_events_url': 'https://api.github.com/users/jopohl/received_events', 'type': 'User', 'site_admin': False}]",0,"[ ] Combox with predefined types (eg. SRC address, dst address, CRC...)
[ ] Last item of combobox is editable (like message type) to add new label types
[ ] Enhance Types in ProtocolLabel class
[ ] Use Types in AWRE",{},{}
117,IssuesEvent,2015-06-10 19:46:01+00:00,27924304,cdent/gabbi,173422,kiminoa,,,opened,YAML defaults cannot be overridden by test specifics,[],[],0,"Feature request? It would be lovely if a test-specific could override the defaults' value.

Example:
```yaml
defaults:
    request_headers:
        accept: application/json
        content-type: application/json
    response_headers:
        content-type: application/json; charset=utf-8

<-- snip -->

tests:
    - name: delete note test case
      verbose: True
      method: DELETE
      url: /v2/notes/$RESPONSE['$.id']
      request_headers:
          accept: text/javascript
          content-type: text/javascript; charset=utf-8
      response_headers:
          content-type: text/javascript; charset=utf-8
      status: 302 || 200
```

This causes ""delete note test case"" to return application/json. 

Workaround: If I nix the defaults and specify content-type and accept header details for each test, all is well.",{},{}
121,IssuesEvent,2015-06-25 13:01:20+00:00,27924304,cdent/gabbi,34498,cdent,,,opened,In 'live' testing scenarios argument passing to build_tests is convoluted and SSL may not work,[],[],0,"If you want to use `build_tests` to create real TestCases against a live server it's likely you know the URL and that would be most convenient thing to pass instead of having to parse out the host, port and prefix (script_name) and then pass those.

In addition, if you have a URL you know if your server is SSL but the tests may not have been written to do SSL (with an `ssl: true` entry). Because of the test building process this is a bit awkward at the moment. It would be better to be able to say ""yeah, this is SSL""  for the whole run.",{},{}
123,IssuesEvent,2016-06-10 16:01:20+00:00,27924304,cdent/gabbi,13571670,josdotso,,,opened,Poll and count don't use substitutions,[],[],0,"Discussion was started here: https://github.com/cdent/gabbi/issues/144#issuecomment-224988014

**my initial ask:**

> p.s. rather than opening another issue immediately, another quick question: Is it possible to source integers from environment variables in the YAML? I ask because I just tried to source poll delay and count from environ, but test failed complaining about strings vs. integers. I tried unquoting the value during shell export, but no dice. Worth opening a new issue?

**@cdent's reponse from #144:**
> ...However, poll and count, don't use substitutions so even if the environment was producing stuff it wouldn't get pulled, so some fixes would be needed in the poll handling.
> Yeah, if you could make a fresh issue, that would be great.",{},{}
141,IssuesEvent,2018-01-21 21:58:06+00:00,72066935,cs01/gdbgui,5715368,cs01,,,closed,Signal send to inferior not working for remote debugging,[],[],5,"##### Describe the issue
""Signal send to inferior"" is not send to remote target for remote debugging.

I am using the gdbgui for remote debugging and the target program is running on my board.
I got an error after I clicked the button `send to inferior`:
```shell
[2018-01-11 17:29:36,625] ERROR in app: Exception on /send_signal_to_pid [GET]
Traceback (most recent call last):
  File ""/usr/local/lib/python3.5/dist-packages/flask/app.py"", line 1982, in wsgi_app
    response = self.full_dispatch_request()
  File ""/usr/local/lib/python3.5/dist-packages/flask/app.py"", line 1614, in full_dispatch_request
    rv = self.handle_user_exception(e)
  File ""/usr/local/lib/python3.5/dist-packages/flask/app.py"", line 1517, in handle_user_exception
    reraise(exc_type, exc_value, tb)
  File ""/usr/local/lib/python3.5/dist-packages/flask/_compat.py"", line 33, in reraise
    raise value
  File ""/usr/local/lib/python3.5/dist-packages/flask/app.py"", line 1612, in full_dispatch_request
    rv = self.dispatch_request()
  File ""/usr/local/lib/python3.5/dist-packages/flask/app.py"", line 1598, in dispatch_request
    return self.view_functions[rule.endpoint](**req.view_args)
  File ""/usr/local/lib/python3.5/dist-packages/gdbgui/backend.py"", line 385, in send_signal_to_pid
    os.kill(pid_int, signal_obj)
ProcessLookupError: [Errno 3] No such process
```
It seems that the backend is looking for the pid on my host machine instead of sending the signal to the remote target.

",{},{}
