,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,issue_id,issue_comment_id,issue_comment_body,issue_comment_reactions,actor_repo_association,actor_type,actor_site_admin_status
6,IssueCommentEvent,2018-02-26 21:08:43+00:00,54391698,jd/pifpaf,29290835,pastamaker[bot],,,300392012,368651032,"Tests SUCCESS for HEAD f58760e668665c5249ef276a64b5b7d96f0e456f

- [JOB #0](https://api.travis-ci.org/jobs/346483489/log): PASSED ✅
- [JOB #1](https://api.travis-ci.org/jobs/346483495/log): PASSED ✅
- [JOB #2](https://api.travis-ci.org/jobs/346483497/log): PASSED ✅",{},NONE,Bot,False
7,IssueCommentEvent,2017-12-21 10:32:56+00:00,54391698,jd/pifpaf,200878,sileht,,,283802016,353317013,"Pull-request updated, HEAD is now 8023941cbbdd050d0aade42502b035742d7c60fe",{},COLLABORATOR,User,False
8,IssueCommentEvent,2017-04-09 03:25:45+00:00,8387179,uiri/toml,364765,uiri,,,218319732,292761173,"> As for using an OrderedDict for _InlineTableDict, this current implementation doesn't work with Python 2.6.

I want to maintain as much backwards compatibility as is reasonable. I have modified the .travis.yml file to that end.

Ryan, I rebased your PR commit as 48657a9 and, predictably, it fails on Python 2.6

> What would you think about adding a dependency on ordereddict for Python 2.6?

I would rather avoid that if possible. Currently, the library has no dependencies outside of the Python standard library and I would prefer to keep it that way.

Using `_dict` as a base seems ideal (see 797caaa). The use of `{}` instead of `_dict` in `_load_value` was originally an oversight on my part when the code for inline tables was added. It is better to fix it and pass _dict throughout the code related to `loads` for consistency's sake.

Thank you Ryan for pointing out the issues with the existing `InlineTableDict` class and for your efforts to improve the code.",{},,User,False
9,IssueCommentEvent,2015-09-28 06:10:58+00:00,20087961,T0ha/ezodf,1385737,btrd,,,93276396,143648840,"Yes you can, thanks :)",{},,User,False
12,IssueCommentEvent,2018-08-29 08:07:21+00:00,2792391,gruns/furl,778703,youtux,,,328734146,416863959,"I cannot upgrade to furl 1.2 because of the change in 68b0cb9. I am using furl to return URLs containing query params that are also URLs to applications developed by third parties. Some of them may not use proper decoding, and if I upgrade to version 1.2 I will be breaking compatibility with those apps.
Is there a way to have the old behavior back, maybe by adding a parameter to the `tostr()` function?",{},NONE,User,False
15,IssueCommentEvent,2015-11-20 14:43:55+00:00,46566669,jaraco/irc,308610,jaraco,,,118055057,158419341,"After looking into this more, I'm a little frustrated with the way the library handles errors. Using a server my company has, which also requires a password, I attempted to connect using an invalid password with this script:

```
import logging
import ssl

logging.basicConfig(level=logging.DEBUG)

import irc.client
import irc.connection

client = irc.client.IRC()
server = client.server()
password = 'foo'
ssl_factory = irc.connection.Factory(wrapper=ssl.wrap_socket)
conn = server.connect(
	'irc.example.net', 7000, 'jaraco_test',
	password=password,
	connect_factory=ssl_factory,
)

def on_error(connection, event):
	print(event.target)
	if 'Password mismatch' in event.target:
		connection.disconnect(""You can't fire me; I quit!"")
		raise Exception(""Failed to authenticate"")

client.add_global_handler('error', on_error)
client.process_forever()
```

(I've replaced our actual server and port)

What I get if I run that is this:

```
> python .\bad-pass.py
DEBUG:irc.client:connect(server='irc.example.com', port=7000, nickname='jaraco_test', ...)
DEBUG:irc.client:TO SERVER: PASS foo
DEBUG:irc.client:TO SERVER: NICK jaraco_test
DEBUG:irc.client:TO SERVER: USER jaraco_test 0 * :jaraco_test
DEBUG:irc.client:process_forever(timeout=0.2)
DEBUG:irc.client:FROM SERVER: :irc.example.com NOTICE AUTH :*** Looking up your hostname...
DEBUG:irc.client:command: privnotice, source: irc.example.com, target: AUTH, arguments: ['*** Looking up your hostname...']
DEBUG:irc.client:FROM SERVER: :irc.example.com NOTICE AUTH :*** Found your hostname
DEBUG:irc.client:command: privnotice, source: irc.example.com, target: AUTH, arguments: ['*** Found your hostname']
DEBUG:irc.client:FROM SERVER: ERROR :Closing Link: jaraco_test[c-68-55-72-219.hsd1.dc.comcast.net] (Password mismatch)
DEBUG:irc.client:command: error, source: None, target: Closing Link: jaraco_test[c-68-55-72-219.hsd1.dc.comcast.net] (Password mismatch), arguments: []
Closing Link: jaraco_test[c-68-55-72-219.hsd1.dc.comcast.net] (Password mismatch)
DEBUG:irc.client:TO SERVER: QUIT :You can't fire me; I quit!
Traceback (most recent call last):
  File "".\bad-pass.py"", line 26, in <module>
    client.process_forever()
  File ""C:\Users\jaraco\projects\irc\irc\client.py"", line 266, in process_forever
    self.process_once(timeout)
  File ""C:\Users\jaraco\projects\irc\irc\client.py"", line 247, in process_once
    self.process_data(i)
  File ""C:\Users\jaraco\projects\irc\irc\client.py"", line 212, in process_data
    c.process_data()
  File ""C:\Users\jaraco\projects\irc\irc\client.py"", line 645, in process_data
    self._handle_event(Event(command, NickMask(prefix), target, arguments))
  File ""C:\Users\jaraco\projects\irc\irc\client.py"", line 649, in _handle_event
    self.irclibobj._handle_event(self, event)
  File ""C:\Users\jaraco\projects\irc\irc\client.py"", line 386, in _handle_event
    result = handler.callback(connection, event)
  File "".\bad-pass.py"", line 23, in on_error
    raise Exception(""Failed to authenticate"")
Exception: Failed to authenticate
```

But more interestingly, if I leave out the 'raise Exception' clause, the script will run indefinitely. It will 'process_forever' even though it'll never have any sockets in the main event loop.

So a few things to note. First, the IRC library could probably handle better the circumstance where it doesn't have any connections. Second, the IRC server we use doesn't follow the RFC for handling the invalid password. Third, it was fairly straightforward to write a handler to capture when the password is invalid.

I realize this doesn't ""fix"" the issue, but it should help anyone struggling with it to better understand how to handle it.

----------------------------------------
Original comment by: Jason R. Coombs
",{},,User,False
37,IssueCommentEvent,2017-11-11 18:47:48+00:00,4295983,loli/medpy,832894,loli,,,273087277,343685815,"I refrained from this step, since I didn't had the time to thoroughly check if the Python3 is error-free. Do you use that branch? If yes, did you encounter any errors till now?",{},OWNER,User,False
42,IssueCommentEvent,2015-07-21 14:16:24+00:00,18603138,WoLpH/mt940,7287076,batjko,,,96319233,123328332,"I just noticed that this is a tag that only exists in MT941s.

Any way of testing first whether the message at hand is indeed MT940?",{},,User,False
44,IssueCommentEvent,2016-04-17 05:32:41+00:00,20479128,amol-/depot,161618,eprikazc,,,142244633,210959127,"Right, the issue happens when serving files directly from S3. Updated to use depot's own implementation of rfc6266.
BTW, I have found that the fix only works if (file name) unicode string  contains only ASCII characters. For non-ASCII it throws exception:

```
  File ""/home/eugene/dev/depot/tests/test_awss3_storage.py"", line 81, in test_content_disposition
    response = requests.get(test_file.public_url)
  File ""/home/eugene/dev/depot/depot/io/awss3.py"", line 60, in public_url
    return self._key.generate_url(expires_in=expires_in, query_auth=False)
  File ""/home/eugene/venv/depot/local/lib/python2.7/site-packages/boto/s3/key.py"", line 707, in generate_url
    version_id)
  File ""/home/eugene/venv/depot/local/lib/python2.7/site-packages/boto/s3/connection.py"", line 406, in generate_url
    expires, self.provider)
  File ""/home/eugene/venv/depot/local/lib/python2.7/site-packages/boto/utils.py"", line 120, in canonical_string
    interesting_headers[lk] = str(headers[key]).strip()
UnicodeEncodeError: 'ascii' codec can't encode character u'\u0444' in position 2: ordinal not in range(128)

```

But I think that we should address it in separate ticket/pull request.",{},,User,False
60,IssueCommentEvent,2018-08-12 05:46:56+00:00,72066935,cs01/gdbgui,5715368,cs01,,,349745710,412320352,"It looks like you installed `virtualenv` and then ran `pipsi install gdbgui`, but `pipsi` was not installed yet.

Try 
```
curl https://raw.githubusercontent.com/mitsuhiko/pipsi/master/get-pipsi.py | python
```
again then open a new terminal and run
```
pipsi install gdbgui
```

If you still get an error about missing `virtualenv`, try running `pip install virtualenv` or `sudo pip install virtualenv`. Then install `pipsi`, then use `pipsi` to install gdbgui.

You can modify the PATH environment variable by modifying the file ~/.bashrc. See this link for more https://stackoverflow.com/questions/13631173/adding-a-path-to-the-bashrc-file, and use google.

Another solution would be to download the binary [here](https://gdbgui.com/downloads/linux/gdbgui_0.13.0.0), then run `chmod +x <file>`, then run it directly.",{},OWNER,User,False
65,IssueCommentEvent,2017-03-01 21:46:51+00:00,72066935,cs01/gdbgui,5715368,cs01,,,211214557,283480974,"Thanks, strange that this was not occurring for me in Chrome, but was indeed an error in Firefox. Fixed in 0.7.4.1.",{},,User,False
102,IssueCommentEvent,2015-05-22 10:48:14+00:00,6007295,fxsjy/jieba,2948176,bobo1732,,,79384872,104616538,@fxsjy 貌似我已经发现的类似问题，#210,{},,User,False
133,IssueCommentEvent,2016-05-11 01:45:52+00:00,30243627,klen/muffin,13167203,0nkery,,,154025347,218341080,"Wanted to mention - some devs want to add [httptools](https://github.com/MagicStack/httptools) from that post to aiohttp.
WIP is [here](https://github.com/KeepSafe/aiohttp/issues/858).",{},,User,False
137,IssueCommentEvent,2016-11-07 16:04:08+00:00,4946406,mher/flower,1352762,insanemainframe,,,179549113,258877286,"Hi, i have same problem
flower==0.9.1",{},,User,False
139,IssueCommentEvent,2016-01-20 02:08:39+00:00,4946406,mher/flower,691049,mher,,,127505257,173061019,"Fixed, thanks!",{},,User,False
157,IssueCommentEvent,2017-04-28 10:18:45+00:00,82588597,youfou/wxpy,3760144,teli5200,,,224395829,297963092,我是用的 pip安装的，版本是 1.2.32,{},,User,False
