,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,release_action,release_tag_name,release_name,release_body
440,ReleaseEvent,2017-03-15 19:13:51+00:00,4576441,kbandla/dpkt,4806709,brifordwylie,,,published,v1.8.8,DPKT 1.8.8,"This release is the 'legacy stable' release of DPKT for Python 2. This version should be used for the following use cases:
- You have a legacy script that uses a method that has been deprecated.
- You have a legacy script and it has to be protected against possible regressions.

To install this version:
$ pip install dpkt==1.8.8"
1044,ReleaseEvent,2017-03-11 21:47:59+00:00,84624509,cdgriffith/Box,3275435,cdgriffith,,,published,1.0.0,Version 1.0.0,Initial release of Box!
1314,ReleaseEvent,2015-02-16 10:20:19+00:00,30015633,phaethon/scapy,1088890,phaethon,,,published,v0.9,Protocol support,Several protocols fixed and tested
1718,ReleaseEvent,2017-03-12 04:46:03+00:00,23509035,seisman/HinetPy,3974108,seisman,,,published,0.3.1,0.3.1,Fix a technical issue related to pypi.
1811,ReleaseEvent,2017-07-03 19:16:18+00:00,95323456,Julius2342/pyvlx,2248357,Julius2342,,,published,0.1.2,Minor changes,"Introduced PyVLXException
minor improvements"
1829,ReleaseEvent,2015-05-02 00:38:31+00:00,32769061,RazerM/represent,1337586,RazerM,,,published,1.1.0,,- Add pickle support by instantiating `RepresentationMixin` during `__setstate__`.
1927,ReleaseEvent,2018-04-03 06:46:19+00:00,94554082,dylanaraps/pywal,6799467,dylanaraps,,,published,2.0.4,2.0.4,"- Fixed cursor color
- Made output prettier"
1935,ReleaseEvent,2017-08-02 03:21:47+00:00,94554082,dylanaraps/pywal,6799467,dylanaraps,,,published,0.5.10,0.5.10,"- `pywal` now colors iTerm2's window and tabs. @aeikenberry 
- Fixed output message inconsistencies."
2414,ReleaseEvent,2015-05-11 16:17:22+00:00,15408116,ergoithz/browsepy,5426406,ergoithz,,,published,0.3.3,,
3536,ReleaseEvent,2015-06-19 10:08:46+00:00,32484306,schlitzered/pyredis,2797971,schlitzered,,,published,0.0.3,Release 0.0.3,Redis Cluster Support
4050,ReleaseEvent,2017-02-07 19:13:51+00:00,63717172,maximkulkin/lollipop,10785,maximkulkin,,,published,v1.1,v1.1,"* Improved repr() for type objects to allow figuring out schema by just printing it
* Updated Dict type to allow transforming/validating dictionary keys
* Fixed/updated custom type documentation"
4089,ReleaseEvent,2017-02-19 16:17:04+00:00,75631824,penguinolog/binfield,16033331,penguinolog,,,published,0.5.0,Working on properties protection,"* _value_ is read-only for class

* Dropped out hardcode from setup.py

* Correct internal class name for BaseBinFieldMeta"
