,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,issue_id,issue_comment_id,issue_comment_body,issue_comment_reactions,actor_repo_association,actor_type,actor_site_admin_status
13,IssueCommentEvent,2017-06-20 14:26:23+00:00,8387179,uiri/toml,22001525,JoeyAcc,,,237225742,309773015,"I finally found out that it really wants a file object, not a file path, which wasn't obvious to me.",{},,User,False
15,IssueCommentEvent,2017-02-22 01:09:22+00:00,8387179,uiri/toml,364765,uiri,,,205306476,281535135,"> @uiri hmm, yeah I think you are correct. This is more of a toggle for using tables and inline tables. Is there any way to determine the format the table was ingested in currently?

I do not believe that there is currently a way to determine the format the table was ingested in.

Perhaps an empty subclass of dict plus a call to isinstanceof(...) in the condition for preserving a table's contents as an inline dictionary? The subclass could conceivably override __str__ to do the right thing.
",{},,User,False
16,IssueCommentEvent,2017-10-29 20:45:04+00:00,8387179,uiri/toml,364765,uiri,,,267438871,340292867,"So one approach is to generate a `warning` on the old syntax for now and then fully move to dropping those parameters in a future release (most likely the one after given the current length of time between releases).

Another approach - which I am leaning more towards - is to have a `legacy` (or whatever... name is a bit arbitrary) module which maintains the old API for at least a little while. So downstream users could change:

`import toml`

to

`from toml import legacy as toml`

And not touch any of the rest of their code, if they so choose.
",{},OWNER,User,False
26,IssueCommentEvent,2012-02-06 13:25:17+00:00,2792391,gruns/furl,1041265,gruns,,,2963069,3828283,"Encoding was overhauled in furl 0.3 and this issue has been rectified.

```python
>>> from furl import furl
>>> f = furl('http://a.example.com/a/b/c/ftp://b.example.com/d/e/f.txt')
>>> f.pathstr
'/a/b/c/ftp://b.example.com/d/e/f.txt'
>>> f.url
'http://a.example.com/a/b/c/ftp://b.example.com/d/e/f.txt'
```

Thanks again for bringing this to my attention.",{},,,
27,IssueCommentEvent,2016-12-03 17:09:07+00:00,68802946,h2non/pook,63402,h2non,,,193288706,264651728,"Thank you!
",{},,User,False
31,IssueCommentEvent,2015-11-20 14:47:54+00:00,46566669,jaraco/irc,308610,jaraco,,,118055813,158421066,"Currently the only use of jaraco.util is the always_iterable call. That's something I plan to switch to the more_itertools project once [pr 37](https://github.com/erikrose/more-itertools/pull/37) is accepted and released. Though that library may not have inclusion in Debian either. In general, shouldn't it be easy to add all dependencies as part of packaging irc?

----------------------------------------
Original comment by: Jason R. Coombs
",{},,User,False
51,IssueCommentEvent,2018-01-28 04:42:41+00:00,78888191,kislyuk/yq,862013,kislyuk,,,291814356,361037973,"Thanks for reporting. While I look into the arg parsing issue, you might look into passing environment variables (`'.metadata.name = env.foo'`) or using shell string substitution of environment variables as a workaround.",{},OWNER,User,False
56,IssueCommentEvent,2016-05-18 15:26:45+00:00,769951,mhe/pynrrd,926354,aghayoor,,,155531067,220063037,@hjmjohnson Please check this pull request. Thank you.,{},,User,False
60,IssueCommentEvent,2015-05-23 20:06:09+00:00,18603138,WoLpH/mt940,4080442,nms84,,,79924231,104940190,This modification does not account for newlines in multi-line entries. Closing. ,{},,User,False
76,IssueCommentEvent,2018-01-21 21:41:54+00:00,72066935,cs01/gdbgui,5715368,cs01,,,289707124,359283461,I took your changes and worked from them to finish it up. I also added the button to reveal the current file. I put it in a new pull request if you would like to see: https://github.com/cs01/gdbgui/pull/160.,{},OWNER,User,False
78,IssueCommentEvent,2017-03-07 11:34:12+00:00,72066935,cs01/gdbgui,6047626,MedicineYeh,,,212043423,284697371,"Thanks!! This command works. I didn't notice this function provided by gdb. It's my fault. Sorry for that.
So then I need to write a script my own to use this functionality easily as it requires a variable tty name.

It might make more sense to use the web for every input including the gdb command but it's not easy to provide all the functions and layout on the web. For example, the color code, the customized terminal fonts, sending any kinds of signal, etc.
I would be happy if this `set inferior-tty` could be an option provided by gdbgui. I'm thinking about something like `gdbgui -tty [TTY Device File] 'qemu-system-x86 .....'`. Leave [TTY Device File] empty if one just wants to use the same terminal.

By the way, the current version of web interface shows ""__enter gdb command__"" at the bottom at all time, even the program is waiting for the input. (I know you can use it to interact with the inferior program.) This is not intuitive for common users. The interface provides no hint to enter text to the inferior program. Like you said, it's hard to know the program is waiting for input, sleep, etc. I don't feel it's necessary to make it work perfectly like a terminal but it's also not that intuitive for users who don't know gdb well. Maybe change the description to ""__enter gdb command or text to the inferior program__"" would help?? I think the best solution is to simply add another description in the README.",{},,User,False
91,IssueCommentEvent,2016-09-29 19:24:54+00:00,48198706,dschep/ntfy,5731555,mlesniew,,,179830552,250566055,"Push notifications usually have icons in the notification area, but we can't change these.  Here we will only see the Pushalot app icon (the blue square with the cloud and the arrow).  The icon associated with the notification itself will only be  displayed after opening the Pushalot app.  

Unfortunately I don't think we can remove the border... ",{},,User,False
104,IssueCommentEvent,2015-04-17 08:08:33+00:00,6007295,fxsjy/jieba,1981072,vetal4444,,,68733812,93939755,"pip install package without any problems. They are only under easy_install. The trouble is when we set jieba in setup.py requirements list of our package and run:

    setup.py install

we will get an exception :(",{},,User,False
144,IssueCommentEvent,2015-09-01 14:44:09+00:00,5450742,klen/pylama,115873,christophlsa,,,88709014,136746500,"@simonweil I created a new ""external tool"" in the configuration. See the screenshot for the configuration (I added the options to a configuration file). In the second screenshot you can see the output filter.

Regex: $FILE_PATH$\:$LINE$\:$COLUMN$\:.*

![screenshot 2015-09-01 16 41 00](https://cloud.githubusercontent.com/assets/115873/9607288/947d6f1a-50c8-11e5-83b8-b7ab48ee9f51.png)
![screenshot 2015-09-01 16 41 22](https://cloud.githubusercontent.com/assets/115873/9607287/947ae5f6-50c8-11e5-83ab-c4ad7e487a4b.png)",{},,User,False
145,IssueCommentEvent,2018-07-05 06:12:57+00:00,5450742,klen/pylama,25746945,s-nirali,,,337813036,402616538,@klen Could you please review and merge this pr for documentation update? Thanks.,{},NONE,User,False
