,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_id,pr_node_id,pr_title,pr_state,pr_locked,pr_number,pr_body,pr_issue_url,pr_merged_at,pr_closed_at,pr_updated_at,pr_commits,pr_additions,pr_deletions,pr_changed_files,pr_author_association,pr_assignees,pr_requested_reviewers,pr_requested_teams,pr_merged_by_login,pr_merged_by_id,pr_merged_by_type,pr_merged_by_site_admin,pr_label,pr_patch_url,pr_commits_url
47,PullRequestEvent,2017-11-03 16:07:59+00:00,20479128,amol-/depot,21062669,CastixGitHub,,,147851529,,added WithSquareThumbnailFilter,closed,False,48,,https://api.github.com/repos/amol-/depot/issues/48,,2017-11-03T16:07:59Z,2017-11-03T16:07:59Z,2,59,8,3,CONTRIBUTOR,[],[],[],,,,,[],https://github.com/amol-/depot/pull/48.patch,https://api.github.com/repos/amol-/depot/pulls/48/commits
51,PullRequestEvent,2017-12-20 12:01:06+00:00,27924304,cdent/gabbi,34498,cdent,,,158716641,,Add tox to test requirements,closed,False,233,"I came across this during the development of #232. However, I thought it wasn't relevant so I would add it to a separate PR.",https://api.github.com/repos/cdent/gabbi/issues/233,2017-12-20T12:01:06Z,2017-12-20T12:01:06Z,2017-12-20T12:01:06Z,4,1,0,1,CONTRIBUTOR,[],[],[],cdent,34498,User,False,[],https://github.com/cdent/gabbi/pull/233.patch,https://api.github.com/repos/cdent/gabbi/pulls/233/commits
66,PullRequestEvent,2017-01-07 01:08:30+00:00,72066935,cs01/gdbgui,5715368,cs01,,,100551356,,Dev/chad/add memory and variables,open,False,2,"* evaluate expressions/variables
* simple memory viewability
* css/ui improvements",https://api.github.com/repos/cs01/gdbgui/issues/2,,,2017-01-07T01:08:30Z,7,622,129,5,[],[],[],[],,,,,[],https://github.com/cs01/gdbgui/pull/2.patch,https://api.github.com/repos/cs01/gdbgui/pulls/2/commits
102,PullRequestEvent,2016-05-05 20:17:18+00:00,1258258,gotcha/ipdb,105204,gotcha,,,69028980,,README - add syntax highlighting,open,False,97,Makes it a little nicer to read,https://api.github.com/repos/gotcha/ipdb/issues/97,,,2016-05-05T20:17:14Z,1,4,3,1,[],[],[],[],,,,,[],https://github.com/gotcha/ipdb/pull/97.patch,https://api.github.com/repos/gotcha/ipdb/pulls/97/commits
107,PullRequestEvent,2018-03-05 04:27:16+00:00,65468547,jd/tenacity,848522,jtdoepke,,,172771594,,Avoid inspect.getargspec deprecation warning,open,False,108,`inspect.getargspec()` was deprecated in Python 3. Use `inspect.getfullargspec()` in Python 3.,https://api.github.com/repos/jd/tenacity/issues/108,,,2018-03-05T04:27:16Z,1,8,2,2,NONE,[],[],[],,,,,[],https://github.com/jd/tenacity/pull/108.patch,https://api.github.com/repos/jd/tenacity/pulls/108/commits
121,PullRequestEvent,2018-02-27 13:38:14+00:00,96523010,komuw/sewer,5163857,komuw,,,171664484,,python3 only,open,False,72,"Thank you for contributing to sewer.                    
Every contribution to sewer is important to us.                       
You may not know it, but you have just contributed to making the world a more safer and secure place.                         

Contributor offers to license certain software (a “Contribution” or multiple
“Contributions”) to sewer, and sewer agrees to accept said Contributions,
under the terms of the MIT License.
Contributor understands and agrees that sewer shall have the irrevocable and perpetual right to make
and distribute copies of any Contribution, as well as to create and distribute collective works and
derivative works of any Contribution, under the MIT License.


Now,                   

## What(What have you changed?)
- support only python3 

## Why(Why did you change it?)
- the future FTW
",https://api.github.com/repos/komuw/sewer/issues/72,,,2018-02-27T13:38:14Z,8,219,214,16,OWNER,[],[],[],,,,,[],https://github.com/komuw/sewer/pull/72.patch,https://api.github.com/repos/komuw/sewer/pulls/72/commits
122,PullRequestEvent,2015-09-14 14:53:03+00:00,4946406,mher/flower,670284,danilotsr,,,44939543,,Make sure Babel is at least 1.0,open,False,466,"`babel.dates.format_timedelta` is supported only on babel-1.0 onward, see their [release notes](http://babel.pocoo.org/docs/changelog/#version-1-0).

Besides, updated a test to use `assert_called_once_with`, given that `assert_called_once` is no longer supported in [Python 3's mock](https://docs.python.org/3/library/unittest.mock.html#unittest.mock.Mock).",https://api.github.com/repos/mher/flower/issues/466,,,2015-09-14T14:53:02Z,1,7,2,2,[],[],[],[],,,,,[],https://github.com/mher/flower/pull/466.patch,https://api.github.com/repos/mher/flower/pulls/466/commits
133,PullRequestEvent,2017-06-27 09:29:42+00:00,41618046,r9y9/pysptk,1220272,r9y9,,,127636050,,Add `mcep` regression tests,closed,False,47,to ensure `pysptk.mcep` can get almost same results compared to CLI tools.,https://api.github.com/repos/r9y9/pysptk/issues/47,2017-06-27T09:29:42Z,2017-06-27T09:29:42Z,2017-06-27T09:29:42Z,1,621666,0,7,[],[],[],[],r9y9,1220272,User,False,[],https://github.com/r9y9/pysptk/pull/47.patch,https://api.github.com/repos/r9y9/pysptk/pulls/47/commits
135,PullRequestEvent,2015-09-26 05:24:10+00:00,41618046,r9y9/pysptk,1220272,r9y9,,,46075860,,Remove unecesarry array initialization,open,False,23,Fix #19,https://api.github.com/repos/r9y9/pysptk/issues/23,,,2015-09-26T05:24:10Z,1,29,29,1,[],[],[],[],,,,,[],https://github.com/r9y9/pysptk/pull/23.patch,https://api.github.com/repos/r9y9/pysptk/pulls/23/commits
139,PullRequestEvent,2015-08-07 19:41:28+00:00,1670404,smira/txZMQ,4029388,tisdall,,,41926212,,move away from travis' 'legacy infrastructure',open,False,64,Changes requested by http://docs.travis-ci.com/user/migrating-from-legacy/,https://api.github.com/repos/smira/txZMQ/issues/64,,,2015-08-07T19:41:28Z,1,6,2,1,[],[],[],[],,,,,[],https://github.com/smira/txZMQ/pull/64.patch,https://api.github.com/repos/smira/txZMQ/pulls/64/commits
