,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,issue_id,issue_comment_id,issue_comment_body,issue_comment_reactions,actor_repo_association,actor_type,actor_site_admin_status
3,IssueCommentEvent,2015-10-19 13:34:03+00:00,2782546,hobu/mgrs,87751,hobu,,,111823817,149214420,Some googling shows this isn't universal. We would need a patch that detected the SOEXT reliably for all *nix before implementing this approach.,{},,User,False
8,IssueCommentEvent,2017-04-11 19:25:54+00:00,8387179,uiri/toml,364765,uiri,,,208126457,293374141,"So, my initial reaction (per my earlier response in this issue) is that preserving comment information is overkill for almost all users of `load`/`loads`. For that reason, I don't think that `load`/`loads` should preserve comment information (at least, not by default, and not via a boolean flag).

However, after looking at kennethreitz/pipenv#212, and what pipenv does to some TOML files, I think that there should be a facility in the library to allow its users to easily preserve comment information (or other information about a given piece of TOML).",{},,User,False
14,IssueCommentEvent,2018-05-12 06:09:33+00:00,2792391,gruns/furl,15183484,dbrakman,,,322036899,388533090,"To answer your questions:

1. To my knowledge, it's not a hard requirement anywhere. It's just one of the possible query parameter strings, and I'm curious to know how to create it using furl.

2. I could have sworn a proprietary dependency was incorrectly parsing `where=1=1`, but, upon the further investigation this prompted, apparently not.

I think I see your point about valid characters in RFC 3986 and why encoding queries involves a nontrivial design decision. I had wondered if there was or should be a flag for indicating a literal query string, but I can't say what's best for furl.

In the potential approach you described, would we get `where=1%3D1` from something like the code below?
```python
f = furl.furl()
f.set(args='1%3D1')
```",{},NONE,User,False
15,IssueCommentEvent,2016-04-03 10:45:57+00:00,2792391,gruns/furl,2866862,ignatenkobrain,,,145480397,204940614,and API.md please,{},,User,False
17,IssueCommentEvent,2017-01-07 18:04:26+00:00,68802946,h2non/pook,527325,mindflayer,,,195326649,271099510,"I see it possible since you are calling the _MockEngine_ here:
```
def mock(url=None, **kw):
    """"""
    Creates and register a new HTTP mock.
    Arguments:
        url (str): request URL to mock.
        **kw (mixed): variadic keyword arguments.
    Returns:
        pook.Mock: mock instance
    """"""
    return _engine.mock(url, **kw)
```",{},,User,False
19,IssueCommentEvent,2016-02-15 22:09:56+00:00,46566669,jaraco/irc,3437864,jpbarto,,,133722070,184416333,"Those changes work in OpenShift, please feel free to release.",{},,User,False
34,IssueCommentEvent,2017-03-22 03:44:42+00:00,55258005,jopohl/urh,6497868,Supergoldfish,,,214864885,288290380,Thanks for the tip!  Substitution did the job.,{},,User,False
39,IssueCommentEvent,2018-01-15 20:35:09+00:00,65411376,lacava/few,25990152,jay-reynolds,,,288694951,357783471,"I'm seeing this:

> otool -L few_lib.cpython-36m-darwin.so 

few_lib.cpython-36m-darwin.so:
	/usr/lib/libstdc++.6.dylib (compatibility version 7.0.0, current version 104.1.0)
	/usr/lib/libSystem.B.dylib (compatibility version 1.0.0, current version 1238.60.2)

",{},NONE,User,False
40,IssueCommentEvent,2018-04-09 07:47:43+00:00,49802969,wong2/pick,13891249,ChadTaljaardt,,,217927111,379664682,"@wong That's a great idea!

@drewmharp Did this fix work for you as well?",{},NONE,User,False
41,IssueCommentEvent,2016-02-22 04:08:44+00:00,49802969,wong2/pick,321947,wong2,,,127241253,186995310,"@pjennings89012 I tried with Python3.5 and can't produce this issue. still, I added 3.5 classifer in setup.py: https://github.com/wong2/pick/commit/3a554db7007513471adb8dd7859e5c0551550181",{},,User,False
