,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,issue_id,issue_comment_id,issue_comment_body,issue_comment_reactions,actor_repo_association,actor_type,actor_site_admin_status
5,IssueCommentEvent,2016-01-13 09:36:23+00:00,7470121,wuub/rxv,588857,wuub,,,125870136,171230779,Thank you @Raynes so much for this contribution. ,{},,User,False
6,IssueCommentEvent,2018-01-31 21:59:01+00:00,7470121,wuub/rxv,588857,wuub,,,292636858,362085006,"@isolationism my receiver does not support ""Dialogue_Lvl"" command, do you  think it would be reasonable to use something like:
`self.supports_method(self.zone, ""Sound_Video"", ""Dialogue_Adjust"", ""Dialogue_Lvl"")` 
to check if it's supported before doing a request and rise something more descriptive instead of `ResponseException`

On one hand ""it's better to ask for forgiveness etc. etc"" on the other doing a request when we know it will fail is a bit excessive :)  What do you think? ",{},OWNER,User,False
7,IssueCommentEvent,2016-02-02 19:13:36+00:00,28550291,cdown/srt,660663,cdown,,,130284629,178765454,Done in fd0e89ec124741077d4b70309bb9e95f3ae92906.,{},,User,False
23,IssueCommentEvent,2015-10-30 21:08:42+00:00,20007705,invl/retry,2508020,infecto,,,112873229,152651986,4.0.0 is supposedly backwards compatible but I have not tested it against retry. Would be nice if we could remove this requirements though.,{},,User,False
24,IssueCommentEvent,2015-11-20 14:43:09+00:00,46566669,jaraco/irc,308610,jaraco,,,118054929,158419149,"ok this can be closed. we me derping. I had a on_mode method... 

----------------------------------------
Original comment by: [jonRB](http://bitbucket.org/jonRB)
",{},,User,False
30,IssueCommentEvent,2017-02-28 20:55:50+00:00,55258005,jopohl/urh,4735527,KenMurphy,,,210896095,283157709,"ModuleNotFoundError: No module named 'gnuradio'


So it appears to be more of a python/gnuradio problem I guess. Sorry, you
can close this issue.

On Tue, Feb 28, 2017 at 3:39 PM, Johannes Pohl <notifications@github.com>
wrote:

> What does python2 -c ""import gnuradio"" say?
>
> —
> You are receiving this because you authored the thread.
> Reply to this email directly, view it on GitHub
> <https://github.com/jopohl/urh/issues/172#issuecomment-283153961>, or mute
> the thread
> <https://github.com/notifications/unsubscribe-auth/AEhCJ3GgU-NPaTs5WkraswAZAKCfZRmuks5rhIX5gaJpZM4MO3UZ>
> .
>
",{},,User,False
42,IssueCommentEvent,2016-10-13 11:13:51+00:00,41905591,Ch00k/ffmpy,21252925,jgalindov,,,182619725,253484695,"Great!
Thanks",{},,User,False
43,IssueCommentEvent,2018-05-07 09:03:21+00:00,74004167,Kyria/EsiPy,1838373,Kyria,,,320610173,387004439,"Well, i'm only half okay with that. 
Even if I can understand the logic / use of that change, I don't think it's the lib job to send an exception, especially as all responses different from HTTP 200 are also valid ESI responses (502 included)... 

We could still add a ""raise_for_error"" or something flag (defaulted to false) for those that want it, but this need to have both status and content (because you might want to check it), just like `requests` does with its `reponse.raise_for_status()` for those that want an exception. 




",{},OWNER,User,False
44,IssueCommentEvent,2015-04-20 14:37:29+00:00,18603138,WoLpH/mt940,270571,WoLpH,,,69562769,94469717,Looking at those files a bit more closely I notice that most of them are years old... can't say I have too much faith that they're still the same. Especially since the IBAN thing messed up the standards quite a bit.,{},,User,False
49,IssueCommentEvent,2015-10-25 16:48:36+00:00,20479128,amol-/depot,601423,amol-,,,113228337,150941262,"I'm not sure what do yo mean by ""doing a data migration of the depot"".
By depot design files are immutable after uploaded, if you want to mutate a file you should upload a new one and delete the old one.",{},,User,False
59,IssueCommentEvent,2018-04-27 12:03:00+00:00,27924304,cdent/gabbi,155376,noorul,,,318243161,384950180,"Yes, I am deploying the app in kubernetes and running the tests against that",{},NONE,User,False
66,IssueCommentEvent,2017-04-30 18:10:32+00:00,72066935,cs01/gdbgui,12084016,sharazam,,,225277824,298247506,Interesting. Didn't expect a segfault to be the reason. Will be watching this.,{},,User,False
80,IssueCommentEvent,2017-09-27 11:46:59+00:00,48198706,dschep/ntfy,667763,dschep,,,260837990,332495493,context; https://github.com/dschep/ntfy/blob/master/ntfy/backends/linux.py#L33-L42,{},OWNER,User,False
88,IssueCommentEvent,2017-06-09 13:43:20+00:00,10031150,emre/kaptan,8655789,codecov-io,,,234829548,307392205,"# [Codecov](https://codecov.io/gh/emre/kaptan/pull/51?src=pr&el=h1) Report
> Merging [#51](https://codecov.io/gh/emre/kaptan/pull/51?src=pr&el=desc) into [master](https://codecov.io/gh/emre/kaptan/commit/691f3935e8e4df269d9112cf13cb9167af85819c?src=pr&el=desc) will **not change** coverage.
> The diff coverage is `n/a`.

[![Impacted file tree graph](https://codecov.io/gh/emre/kaptan/pull/51/graphs/tree.svg?token=4H0rNJ1SRl&src=pr&width=650&height=150)](https://codecov.io/gh/emre/kaptan/pull/51?src=pr&el=tree)

```diff
@@           Coverage Diff           @@
##           master      #51   +/-   ##
=======================================
  Coverage   69.73%   69.73%           
=======================================
  Files           9        9           
  Lines         228      228           
=======================================
  Hits          159      159           
  Misses         69       69
```



------

[Continue to review full report at Codecov](https://codecov.io/gh/emre/kaptan/pull/51?src=pr&el=continue).
> **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta)
> `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data`
> Powered by [Codecov](https://codecov.io/gh/emre/kaptan/pull/51?src=pr&el=footer). Last update [691f393...90f47d0](https://codecov.io/gh/emre/kaptan/pull/51?src=pr&el=lastupdated). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments).
",{},,User,False
89,IssueCommentEvent,2018-04-22 20:26:32+00:00,10031150,emre/kaptan,8655789,codecov-io,,,316610214,383409786,"# [Codecov](https://codecov.io/gh/emre/kaptan/pull/79?src=pr&el=h1) Report
> Merging [#79](https://codecov.io/gh/emre/kaptan/pull/79?src=pr&el=desc) into [master](https://codecov.io/gh/emre/kaptan/commit/a8f1710c6cd8f359337d19f4d990edfc8fb52637?src=pr&el=desc) will **not change** coverage.
> The diff coverage is `n/a`.

[![Impacted file tree graph](https://codecov.io/gh/emre/kaptan/pull/79/graphs/tree.svg?token=4H0rNJ1SRl&src=pr&width=650&height=150)](https://codecov.io/gh/emre/kaptan/pull/79?src=pr&el=tree)

```diff
@@           Coverage Diff           @@
##           master      #79   +/-   ##
=======================================
  Coverage   69.73%   69.73%           
=======================================
  Files           9        9           
  Lines         228      228           
=======================================
  Hits          159      159           
  Misses         69       69
```



------

[Continue to review full report at Codecov](https://codecov.io/gh/emre/kaptan/pull/79?src=pr&el=continue).
> **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta)
> `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data`
> Powered by [Codecov](https://codecov.io/gh/emre/kaptan/pull/79?src=pr&el=footer). Last update [a8f1710...1fe1638](https://codecov.io/gh/emre/kaptan/pull/79?src=pr&el=lastupdated). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments).
",{},NONE,User,False
90,IssueCommentEvent,2015-03-05 09:16:41+00:00,6007295,fxsjy/jieba,7929246,myccc456,,,57319345,77330709,"@gumblex   谢谢， 试了下，通过如下代码即可自定义添加词典 java版

		WordDictionary dictAdd = WordDictionary.getInstance();
		
		File file = new File(""D:/jieba-analysis/conf/user.dict"");
		dictAdd.loadUserDict(file);",{},,User,False
93,IssueCommentEvent,2017-07-20 07:57:32+00:00,6007295,fxsjy/jieba,4278666,xxllp,,,225299256,316627087,这个jieba词性烂的很，不建议用，应该是训练数据问题,{},,User,False
103,IssueCommentEvent,2016-06-15 15:44:08+00:00,6007295,fxsjy/jieba,2707039,geekan,,,112084457,226229034,"很好的一个patch —— 至少解决了这个积年累月的问题
但是用户自定义词典（从文件读取）还是要修改下格式才行，这个patch无法解决",{},,User,False
109,IssueCommentEvent,2016-12-13 09:47:15+00:00,6007295,fxsjy/jieba,8079595,hurryzeng,,,22582218,266693319,我也想问，主要是过滤标点……,{},,User,False
123,IssueCommentEvent,2016-04-29 14:39:23+00:00,1258258,gotcha/ipdb,4639261,fvisin,,,135676052,215739355,@gotcha it works! Thanks for the fix!!,{},,User,False
135,IssueCommentEvent,2015-03-13 05:35:24+00:00,4946406,mher/flower,691049,mher,,,60599665,78813856,"Currently, it is not possible to define the broker url in flower config. The best way to configure the broker is reusing celery application:

    $ flower -A tasks.app

    //tasks.py
    app = Celery(broker='redis://')
",{},,User,False
137,IssueCommentEvent,2018-07-25 11:50:49+00:00,4946406,mher/flower,828813,jheld,,,124191316,407727466,What's the status of this?,{},NONE,User,False
138,IssueCommentEvent,2017-03-18 22:03:14+00:00,4946406,mher/flower,691049,mher,,,212214643,287578089,"This issue has been fixed in the master version. You can install flower from master using: 
```pip install https://github.com/mher/flower/zipball/master```",{},,User,False
140,IssueCommentEvent,2017-03-24 18:30:42+00:00,4946406,mher/flower,127780,rafaelreuber,,,204011880,289107978,Have you tried to reproduce de this bug using the version 0.9.1?,{},,User,False
141,IssueCommentEvent,2018-08-29 14:35:54+00:00,4946406,mher/flower,6239162,mascah,,,315120117,416977032,"Same issue here.

It looks like #766 addresses this. Hopefully this gets released soon.",{},NONE,User,False
142,IssueCommentEvent,2016-01-18 02:06:58+00:00,4946406,mher/flower,691049,mher,,,118445920,172407816,Duplicate of #489 ,{},,User,False
145,IssueCommentEvent,2018-01-20 06:48:32+00:00,95191952,rainx/pytdx,6207775,JaysonAlbert,,,289522480,359150628,把master分支的修改也提交进来了,{},CONTRIBUTOR,User,False
146,IssueCommentEvent,2017-10-16 06:59:40+00:00,95191952,rainx/pytdx,11537812,yutiansut,,,265316031,336797067,@rainx ,{},CONTRIBUTOR,User,False
