,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,issue_id,issue_comment_id,issue_comment_body,issue_comment_reactions,actor_repo_association,actor_type,actor_site_admin_status
5,IssueCommentEvent,2016-10-14 20:13:16+00:00,7470121,wuub/rxv,14367,sdague,,,183118857,253907853,"I added a second thing into the mix, which is a direct setting call for net_radio address, based on some old test code I had locally when I was starting to write this whole lib from scratch (before I saw yours out there).",{},,User,False
7,IssueCommentEvent,2018-02-28 08:49:55+00:00,2537101,phn/jdcal,280280,phn,,,300041896,369163764,"Hello Jon,

Thanks for all your contributions. I will push a new release soon to pypi so that people can take advantage of wheels.

Regards,
Prasanth",{},OWNER,User,False
8,IssueCommentEvent,2015-11-11 18:54:42+00:00,2537101,phn/jdcal,1738147,chrislococo-wf,,,115855830,155876211,"Perfect, thank you @phn ",{},,User,False
34,IssueCommentEvent,2018-05-22 09:09:06+00:00,55258005,jopohl/urh,18283204,andynoack,,,325128748,390918877,"Actually the computation of the CRC is not wrong but you need two parameters (RefIn=true and RefOut=true -> input and output bits are inverted/reflected) to calculate it in your way. We are about to implement these, stay tuned :)",{},COLLABORATOR,User,False
35,IssueCommentEvent,2018-07-20 17:05:28+00:00,55258005,jopohl/urh,12119776,mehdideveloper,,,343125402,406664158,@jopohl PTAL,{},CONTRIBUTOR,User,False
37,IssueCommentEvent,2016-01-06 03:33:21+00:00,10156090,klen/mixer,7982092,tongfeifan,,,125102352,169211397,"I fix it by myself, the version of my mixer is too low, upgrade it.",{},,User,False
41,IssueCommentEvent,2018-07-27 03:56:03+00:00,7369432,Turbo87/utm,316517,Juanlu001,,,342407078,408304201,Hi @zplett! Did you close the issue because you solved your problem?,{},COLLABORATOR,User,False
54,IssueCommentEvent,2017-12-01 05:08:33+00:00,72066935,cs01/gdbgui,5715368,cs01,,,278279142,348402808,"Thanks, great to hear you like it.

I believe #141 might resolve your problem. Until that's added, another thing you could try is the following.

- type `tty` in a terminal. It will output something like  `/dev/pts/0`
- open gdbgui in another terminal
- in gdbgui's terminal widget, type `tty /dev/pts/0`. Now all i/o is done through that terminal.

Read more: https://sourceware.org/gdb/onlinedocs/gdb/Input_002fOutput.html",{},OWNER,User,False
75,IssueCommentEvent,2017-02-26 19:40:35+00:00,10031150,emre/kaptan,26336,tony,,,210283672,282581058,Closing this for now :cake:,{},,User,False
107,IssueCommentEvent,2017-01-22 17:46:24+00:00,1258258,gotcha/ipdb,756433,gnebehay,,,182025611,274346153,"Yup, thx! I'll leave this one open just so that we can track upstream progress.",{},,User,False
