,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_review_comment_action,pr_review_comment_id,pr_review_comment_commit_id,pr_review_comment_site_admin,pr_review_comment_body,pr_review_comment_author_association,pr_number,pr_review_comment_reactions
463,PullRequestReviewCommentEvent,2017-10-03 23:13:52+00:00,73187175,note35/sinon,5159944,note35,,,created,66925429,39b52f75db16d0c13e448f96edae28a5658b5329,False,You can write your name here! :),OWNER,8,{}
464,PullRequestReviewCommentEvent,2017-09-28 15:03:08+00:00,73187175,note35/sinon,5159944,note35,,,created,65891695,758d7c7e0415af6047e40ecc120dc62c55215d78,False,"Here is no problem. But I still want to tell you one thing about Python. In python, if statement should be simple without brackets if not necessary. Some pythonic coding style is not easy to learn from other language. Hope you can enjoy this language's philosophy .

In this case, if you use [pylint](https://google.github.io/styleguide/pyguide.html) to check, you will get this message `C: 60, 0: Unnecessary parens after 'if' keyword (superfluous-parens)`.

To use pylint, just `pip install pylint` and run `pylint <target file path>`",OWNER,7,{}
688,PullRequestReviewCommentEvent,2018-05-22 02:28:14+00:00,8600174,Lagg/steamodd,2764675,FlaminSarge,,,created,122004023,9db951029f55aa7aa4f41865819c4c1519ca8124,False,idk if this line needs to be here,CONTRIBUTOR,53,{}
956,PullRequestReviewCommentEvent,2018-03-25 19:44:09+00:00,109304350,Kane610/deconz,24575746,Kane610,,,created,106741104,f153e77fa5cdc562d0e55a42e22c8e5a2c6b5585,False,Add a self._reachable = True after the super init,OWNER,9,{}
1052,PullRequestReviewCommentEvent,2017-06-01 14:58:04+00:00,4871879,cocagne/txdbus,730811,hobarrera,,,created,41536229,e65ff397ec6af5756d839f65960f6a284da9c1a3,False,"Maybe I'm being slow here, but, shouldn't `d1` and `d2` return  strictly AFTER `callRemotesDone`, since the latter actually calls the former two?",,55,{}
1111,PullRequestReviewCommentEvent,2018-03-29 11:25:41+00:00,16331291,davisking/dlib,6259399,davisking,,,created,108011513,83ab73b397a5f55c6c760cbce33ce9d1fa4384be,False,"This should go in the forward() function since the size of the network output could change from one invocation to the next.  Some layers require the input size to be constant, like the fc_ layer and they make more heavy use of setup() as a result.  But layers that make sense for tensors of varying sizes should support that.  So here that means these scale parameters should be calculated each time at the start of forward().",OWNER,1212,{}
1405,PullRequestReviewCommentEvent,2016-09-15 13:30:14+00:00,56257335,Rambatino/CHAID,3631109,Rambatino,,,created,,ad20b1f46b5b9257411a22e0ca8e97ac778621df,False,I'll push it to a new PR without methodising it so we can have a discuss,,38,{}
1426,PullRequestReviewCommentEvent,2017-08-10 17:00:54+00:00,72015621,antocuni/capnpy,344507,antocuni,,,created,55581391,6d48b1b9ffce62b2bfe90178a217fb8a65247c82,False,"I don't like this. If by chance the user has a `DEBUG` env variable set, it might break things. Better to use `CAPNPY_DEBUG` or similar, if we want to keep the logic",,17,{}
1524,PullRequestReviewCommentEvent,2017-12-11 08:44:51+00:00,54787116,guyzmo/git-repo,15092,jayvdb,,,created,82416705,aa44ef1faab7304e990379f3edfff9164a82d33d,False,"IMO your first initial implementation of just `clone` isnt enough to mark this as 'done'.

I think this is done when git-repo can do the equivalent of `git review -d` & `git review` with a single patch in the queue. (patchset support isnt conceptually supported by git-repo)",COLLABORATOR,183,{}
1528,PullRequestReviewCommentEvent,2017-12-22 20:42:32+00:00,54787116,guyzmo/git-repo,24596921,Phantom-42,,,created,85392961,d5d00c37d9a73589f59280442a74d38a0ca0b4c6,False,Done!,NONE,183,{}
1640,PullRequestReviewCommentEvent,2018-03-16 15:05:18+00:00,3852351,meejah/txtorcon,145599,meejah,,,created,104601604,aafa4dd15fcd8d287146c8e2333e8af8cb80de82,False,"We should probably un-listen as well (e.g. in the cancel, and also when we're done). Not *strictly* necessary, but good practice.",OWNER,287,{}
1865,PullRequestReviewCommentEvent,2016-06-17 13:51:25+00:00,11929631,craffel/mir_eval,1190540,bmcfee,,,created,,ff2425aaa6bb365ea40c29db3b01f02f5461aea2,False,"> Related to this, maybe it would be nice if the lowest octave was configurable (I think -2 or -1 is more common than 0).

Really?  Isn't that well below the range of human pitch perception?",,196,{}
1866,PullRequestReviewCommentEvent,2016-06-11 04:10:13+00:00,11929631,craffel/mir_eval,417568,craffel,,,created,,5da485a654fba730f0604c2b1a58050c2560260a,False,Isn't this just the height of the rectangles?,,196,{}
1868,PullRequestReviewCommentEvent,2016-03-16 09:14:39+00:00,11929631,craffel/mir_eval,417568,craffel,,,created,,5880a480d007e94880404cf5410e761e9d997dab,False,"You don't pass values `max_freq` and `min_freq` here, is that intentional?",,186,{}
1869,PullRequestReviewCommentEvent,2017-10-16 07:31:33+00:00,11929631,craffel/mir_eval,1595907,carlthome,,,created,69473189,29ca2c962bc718f0441f60906be48657887bb5dd,False,Done,CONTRIBUTOR,250,{}
1872,PullRequestReviewCommentEvent,2016-06-14 20:34:46+00:00,11929631,craffel/mir_eval,1190540,bmcfee,,,created,,9e8c486bcf72db4bdb8e01088d2020be40a7a433,False,"Fair enough; I'll defer to @craffel on this.

In general, I would expect each unit test to have exactly one call to the function being tested (`metric`).  I count at least seven in this test, and they're each testing slightly different failure modes.",,199,{}
1874,PullRequestReviewCommentEvent,2016-06-11 16:46:44+00:00,11929631,craffel/mir_eval,1190540,bmcfee,,,created,,5da485a654fba730f0604c2b1a58050c2560260a,False,"Yes, but this implementation isn't wrong, and it's a bit more forgiving anyway, so I see no reason to change it.",,196,{}
1875,PullRequestReviewCommentEvent,2017-07-24 00:04:27+00:00,11929631,craffel/mir_eval,417568,craffel,,,created,51656150,31229f382198ff2f0d5ada3feda29741aa31e399,False,"Maybe add a note here (or elsewhere, wherever you think is appropriate) that levels start from level 1 (as opposed to level 0).",,225,{}
1882,PullRequestReviewCommentEvent,2015-11-26 20:13:21+00:00,21095662,d11wtq/dockerpty,442180,dnephin,,,created,,cbaf834814c950fba364083eb32dc4e81086a07c,False,I restart the last build of master to see what happens,,48,{}
1893,PullRequestReviewCommentEvent,2015-12-13 14:43:26+00:00,3489194,davidhalter/jedi,1173730,reinhrst,,,created,,a97501b9029d6b9308ea88031d9c97be51ce464b,False,"Oops, that's what you get for copy-pasting other files :(",,659,{}
1897,PullRequestReviewCommentEvent,2015-04-07 12:43:41+00:00,3489194,davidhalter/jedi,748594,davidhalter,,,created,,c0ea4379dac1f7b1789163636046c629c32dff4f,False,"I'm actually worried now that this line might cause some issues. It should probably be a `sys_path_with_modifications` call, but that's not your problem (or at least not a problem of this PR).

I just realized this, but even if it causes issues, there's not a big implication for all normal use cases, so don't care about it too much. It's much more that I should remember this.",,562,{}
1915,PullRequestReviewCommentEvent,2017-06-28 01:22:11+00:00,14249606,dgilland/omdb.py,1251349,dgilland,,,created,46721316,81bb56e886da99fb1dd9e68eb1bb3362fd72188c,False,"My suggestion was to add both `totalSeasons` and `totalResults` but because I don't have an apikey to use, I can't verify what the data returned looks like. Although, if `totalResults` is being returned at the same level as `Search`, then some other changes would be needed since omdb.py pulls the `Search` field from the response and just returns the list of results. So perhaps hold off on `totalResults` for now.",,12,{}
1964,PullRequestReviewCommentEvent,2017-05-21 18:22:51+00:00,20101515,giampaolo/psutil,681260,giampaolo,,,created,39362153,1e8dd17da3a60dbe21c6b718a006d78fbb8479c2,False,"This, which you do in the `error` body later:

```
+    if (env && env_count >= 0)
 +        psutil_free_cstrings_array(env, env_count);
 +
 +    Py_XDECREF(py_envname);
 +    Py_XDECREF(py_envval);
 +    Py_XDECREF(py_retdict);
 +    return NULL;
```

As a general rule you should only define one ""error"" goto block, not different gotos, and implement the whole free resource logic in there (in 1 place only). Apply this construct everywhere. It's safer and also consistent with the existent code base.",,1091,{}
1976,PullRequestReviewCommentEvent,2017-05-21 04:51:52+00:00,20101515,giampaolo/psutil,329535,alxchk,,,created,39347781,9f7ac63425753f183e94a73ebbd1c8924091d3e4,False,"This function just opens /as (/mem alternative) and returns fd. So I set exception here to not to lost it whatever caller did. As function should return descriptor, there is zero sense to close it.",,1091,{}
2008,PullRequestReviewCommentEvent,2017-03-28 16:04:45+00:00,23076316,horazont/aioxmpp,152464,sebastianriese,,,created,29496720,c7982561c2a0d7c11ed5868b65faf00a58e824ef,False,Done.,,54,{}
2011,PullRequestReviewCommentEvent,2017-12-14 17:51:28+00:00,23076316,horazont/aioxmpp,152464,sebastianriese,,,created,83589706,d94ab0efb3b2c1af07367f7cd97e98ed983bc4dd,False,"Meh, for me this is a deep seated German-induced English-bug.",COLLABORATOR,165,{}
2015,PullRequestReviewCommentEvent,2018-06-18 11:58:00+00:00,23076316,horazont/aioxmpp,271710,horazont,,,created,129527688,d083231d297d2a5d686a3f02dd36e2ec4068cd50,False,"Add a blank line before and change this to:

```python
if not metadata.sasl_providers:
    return transport, xmlstream, features
```

This saves indentation on the block below.",OWNER,211,{}
2064,PullRequestReviewCommentEvent,2017-12-20 20:28:08+00:00,108187130,mhammond/pywin32,15351036,xoviat,,,created,84887649,bc2d0dfd1b0c7684c232283c58605e9a162493d7,False,Link broken.,COLLABORATOR,1136,{}
2242,PullRequestReviewCommentEvent,2015-07-25 07:17:38+00:00,1998014,Diaoul/subliminal,319220,Diaoul,,,created,,a902784f79a37e105dcebd273ed7a5cc611f1759,False,"To be consistent with other long lines:

```python
checked(self.server.LogIn(self.username, self.password, 'eng',
                          'subliminal v%s' % get_version(__version__)))
```",,452,{}
