,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,issue_id,issue_comment_id,issue_comment_body,issue_comment_reactions,actor_repo_association,actor_type,actor_site_admin_status
2,IssueCommentEvent,2017-10-01 00:55:24+00:00,73567304,ofek/bit,12896823,vivosmith,,,261820052,333345923,"Weird. For whatever reason python3 does not work, but python does. I think that cleared it up. I have never had to enter python before opening a script, however it could be conflicting versions I have that I forgot about. I am testing the balance right now to see if it works. Was the coincurve issue related to specific code for a specific version?",{},NONE,User,False
3,IssueCommentEvent,2018-08-06 20:15:24+00:00,73567304,ofek/bit,4624114,teran-mckinney,,,347867679,410839172,"You need to call get_unspents() off the object to update the balance object. I think it may be more intuitive to have it set to None, or something like that, before get_unspents() is called. Balance is calculated through unspents, not through a balance call to the APIs.

blockchain.info, some Australian service, and another are used. There are limits, you'll want to read the service.py information, there's some info on ratelimits in the comments (may not be current). If one fails it'll try another.",{},COLLABORATOR,User,False
6,IssueCommentEvent,2016-11-10 14:21:06+00:00,7470121,wuub/rxv,588857,wuub,,,188206679,259701547,@postlund I agree with you :) we just have to remember that the fact that `rxv.py` is getting long does not mean it's getting too complex. But since this lib now sees unprecedented amount of activity and gained some new big features (zones) we should probably revisit some of original assumptions soon.  Lets discuss it here #31,{},,User,False
15,IssueCommentEvent,2016-12-03 00:19:22+00:00,8387179,uiri/toml,1480321,SergioBenitez,,,193244295,264597447,"It looks like there's a test that contradicts the specification in @BurntSushi's tests. In particular, [this test](https://github.com/BurntSushi/toml-test/blob/master/tests/valid/multiline-string.toml#L12) with [this expected result](https://github.com/BurntSushi/toml-test/blob/master/tests/valid/multiline-string.json#L22). @avakar doesn't have a test case for this. I've fixed this issue in the Python script and will submit a PR. I believe @BurntSushi's test case is incorrect.",{},,User,False
16,IssueCommentEvent,2017-04-11 14:47:35+00:00,8387179,uiri/toml,425099,ryanhiebert,,,218319732,293287232,"The approach that I saw in that branch looks good to me. I'd recommend leaving `dict` as the base class, unless you have something specific driving the choice to make it something else.

In functional programming you'll tend to really good uses of data types. I think that `InlineTableDict` as a sentinel subclass is a good example of that. I think that I'd use something similar if I were writing this in Haskell, for example.

If this is _not_ a public interface, then consumers of this library are not able to write a _new_ toml file, without reading an old one, and have it use any inline tables. I think that there should be a way for users that don't need `load` or `loads` at all to still be able to make inline tables with `dump` and `dumps`. From there, it seems natural to expose `InlineTableDict` as the way for users to do it.

I like the functional approach, so the Encoder/Decoder classes don't jive well with my own thoughts. However, I've not used the json equivalents except in the most trivial of ways (just copy-pasting, basically), so I may not be a good judge of whether they are indeed the better approach.

I think at this point this particular PR is dead, and your work on that other branch should be how we implement what this desires, so I'm gonna go ahead and close it.",{},,User,False
48,IssueCommentEvent,2017-11-28 08:32:00+00:00,55258005,jopohl/urh,18283204,andynoack,,,277146691,347449907,"Hi @nocomp,
we are busy with a lecture right now but maybe @jopohl can help a little bit in the meantime.",{},COLLABORATOR,User,False
53,IssueCommentEvent,2017-09-21 05:58:50+00:00,55258005,jopohl/urh,18219846,jopohl,,,253526856,331059287,"As you mentioned that you reset your environment, maybe a ``` pip3 install pyqt5 ``` will help here? Just a shot in the dark.",{},OWNER,User,False
58,IssueCommentEvent,2017-05-02 14:23:32+00:00,55258005,jopohl/urh,18283204,andynoack,,,225415990,298650574,"It is not possible to pass integer parameters, as the interface is restricted to '0' and '1' chars. The format must be binary because otherwise not every sequence is possible (e.g. you cannot transmit 6 bits without trailing zeroes when using hex coding). Because of that, programs should output a binary sequence with chars.",{},,User,False
78,IssueCommentEvent,2017-09-08 15:01:39+00:00,55258005,jopohl/urh,24467910,mntnmn,,,253526856,328127537,"I think this is one for dicourse.myriadrf.org. I sometimes make a change in LimeSuiteGui that gives this error or 'too high' and I am unable to even get back to where I was before. But if I start over from the beginning I may be able to make the change I wanted. I think this is causing errors in other programs, too, but is not output to see.
The test routine is still not working. I think it really is getting a complex. It complains about the recast but continues, then segfaults. ",{},NONE,User,False
83,IssueCommentEvent,2017-02-28 22:12:20+00:00,55258005,jopohl/urh,18219846,jopohl,,,210915513,283177861,"Line 25: ``` ld: library not found for -lrtlsdr ``` indicates, that it can not find rtlsdr library. What does 
```
sudo updatedb
locate rtlsdr.so
```
say?",{},,User,False
95,IssueCommentEvent,2017-03-02 08:43:42+00:00,49802969,wong2/pick,321947,wong2,,,163283983,283591983,thanks for your work! I've merged another PR implementing this feature.,{},,User,False
100,IssueCommentEvent,2016-11-07 12:11:22+00:00,41905591,Ch00k/ffmpy,230214,Ch00k,,,187689618,258820205,@busla Would running ffmpy in a separate thread work for your scenario?,{},,User,False
107,IssueCommentEvent,2017-06-11 20:51:55+00:00,20479128,amol-/depot,2354108,coveralls,,,235090421,307656050,"
[![Coverage Status](https://coveralls.io/builds/11923531/badge)](https://coveralls.io/builds/11923531)

Coverage remained the same at 97.858% when pulling **7443025312cbd51f15ddf362fe4deaa8ad5e7c92 on django-example** into **83420e972bc75f1f16f94c8d94d1dd3e7f3766a1 on master**.
",{},,User,False
120,IssueCommentEvent,2016-12-21 14:18:40+00:00,27924304,cdent/gabbi,17428429,samuelfekete,,,196730393,268533314,"@cdent, thanks for the quick response. I am not going away. Will do another commit soon to fix the failing tests.",{},,User,False
122,IssueCommentEvent,2017-03-04 04:30:55+00:00,27924304,cdent/gabbi,5350032,justanotherdot,,,211590895,284126589,"I've provided a `coerce` method inside of the base ContentHandler which just acts like `identity`. The JSONHandler then is free to decide how it should coerce values. All values are coerced after substitutions. Thankfully `json.loads` knows what to do given an int, a float, on object, an array, etc. The downside is that the JSON always has to be quoted, but I think that's normal in YAML, actually, e.g. `key: '{""key"": ""val""}'`.

Also, this doesn't ever use the base ContentHandler, which might actually cause problems being `identity`. It could, instead, simply `pass` instead of returning a value. ",{},,User,False
124,IssueCommentEvent,2017-11-16 16:38:17+00:00,93209191,cemsbr/yala,2354108,coveralls,,,274581222,344981247,"
[![Coverage Status](https://coveralls.io/builds/14237353/badge)](https://coveralls.io/builds/14237353)

Changes Unknown when pulling **b3388057011ad016310618ee7db6914121ce4ac5 on badges** into ** on master**.
",{},NONE,User,False
149,IssueCommentEvent,2018-01-29 02:14:41+00:00,72066935,cs01/gdbgui,5715368,cs01,,,292237604,361121777,"Interesting, thanks for reporting this. I'll look into it. ",{},OWNER,User,False
157,IssueCommentEvent,2017-11-15 18:00:55+00:00,72066935,cs01/gdbgui,5715368,cs01,,,274214442,344676829,"It seems useful, I'd like to see it. Can you show me the branch?",{},OWNER,User,False
161,IssueCommentEvent,2017-05-18 18:06:42+00:00,9896961,dbrgn/RPLCD,20880016,GoranLundberg,,,229756042,302493804,You have the wrong data pins. pins_data needs to be the BCM numbering on the Pi. For example 0 does not exist. Check this site for BCM numbering. https://pinout.xyz/,{},,User,False
163,IssueCommentEvent,2016-02-01 14:22:45+00:00,36836292,dme65/pySOT,12738905,dme65,,,130330263,177991683,"Also, since you are using the ProcessWorkerThread I assume that you are using an external objective function. What programming language is your objective function written in? Are you sure you that output parsing works correctly? The examples I have for pySOT I print a string at the end of the objective function evaluation, but if your objective function is printing while running it may confuse pySOT to think that this is the final output.",{},,User,False
166,IssueCommentEvent,2016-02-04 22:16:15+00:00,48198706,dschep/ntfy,667763,dschep,,,131487781,180075691,Definitely. I'll consider it for future releases and would gladly accept a pull request.,{},,User,False
167,IssueCommentEvent,2016-09-02 15:24:39+00:00,48198706,dschep/ntfy,2354108,coveralls,,,174768510,244406501,"
[![Coverage Status](https://coveralls.io/builds/7725496/badge)](https://coveralls.io/builds/7725496)

Coverage increased (+0.5%) to 78.958% when pulling **1fe467d77ba1fdaac8d3d6477aadd7c34a3ac5c7 on jlesage:systemlog_backend** into **59d4b2a56147f850a785f9f36b8b6a338070f009 on dschep:master**.
",{},,User,False
169,IssueCommentEvent,2016-09-28 20:40:29+00:00,48198706,dschep/ntfy,667763,dschep,,,179830552,250292871,Would it make sense to default image to https://cdn.rawgit.com/dschep/ntfy/master/ntfy/icon.png,{},,User,False
175,IssueCommentEvent,2016-02-21 13:03:28+00:00,48198706,dschep/ntfy,667763,dschep,,,135151401,186819987,"Yup, in prettier & complete YAML version of @danryder's example config
```
---
backends:
    - xmpp
 xmpp
    - jid: ""$USERNAME@gmail.com""
    - password: ""$PASSWORD""
    - mtype: ""chat""
    - recipient: ""TARGETUSERNAME@gmail.com
```",{},,User,False
179,IssueCommentEvent,2016-03-09 06:28:56+00:00,48198706,dschep/ntfy,1111743,jungle-boogie,,,139158381,194138841,"Okay, I'll try it then and on a couple different machines to see if I see different behavior.

Along the same lines as watching a pid, have you considered notifying when a command starts up?

",{},,User,False
190,IssueCommentEvent,2018-03-24 16:55:53+00:00,48198706,dschep/ntfy,1683369,Artanicus,,,298350321,375907686,Python3 install seems to work. Any ideas why a 2.7 install would fail?,{},NONE,User,False
196,IssueCommentEvent,2015-01-23 15:04:48+00:00,6007295,fxsjy/jieba,9815904,assed,,,52455467,71205710,"请教下一下，2台电脑：Mac和Ubuntu
jieba均为0.35，使用同样的用户词典
测试代码完全一样
但是对于「石墨烯」这个词，mac上可分出「石墨烯」而在ubuntu中分出「石墨」「烯」
这是为什么呢？",{},,User,False
197,IssueCommentEvent,2018-08-06 08:06:24+00:00,6007295,fxsjy/jieba,16999665,shm007g,,,15837788,410623498,"如下csv，label会被分割成好几段`'|', '__', 'label', '__', 'edu'`，必须使用数字替换才行。然而有的工具约定了label格式，将会特别难办，如fastText的__label__

content|label
--------|-----
abcdefg|__label__edu
hijklmnopq|__label__finance",{},NONE,User,False
231,IssueCommentEvent,2015-01-15 08:17:00+00:00,6007295,fxsjy/jieba,7472151,qinwf,,,54279685,70052922,可以试试和这个类似的正则表达式 http://git.io/piM6rQ,{},,User,False
246,IssueCommentEvent,2015-10-28 07:26:33+00:00,6007295,fxsjy/jieba,167837,fxsjy,,,113739989,151751039,@lichun19960112 ， 这个·start = unicode_sentence.index(w)· 是在整个句子中搜索么？会比较低效，而且如果有重复出现呢？,{},,User,False
254,IssueCommentEvent,2015-07-01 09:35:04+00:00,1258258,gotcha/ipdb,105204,gotcha,,,91634097,117562600,"@pjdelport @Psycojoker @pgularski @dimasad @lebedov @kynan @msabramo @mauritsvanrees @omergertel @marciomazza @aldrik @WouterVH 

I think relicensing ipdb to a PSF compatible license makes sense.
Do you agree ? Can you give an explicit answer on this issue ?

Thanks",{},,User,False
256,IssueCommentEvent,2016-02-17 14:23:35+00:00,1258258,gotcha/ipdb,105204,gotcha,,,134269523,185226757,Is that a bug seen only in 0.8.2 ?,{},,User,False
258,IssueCommentEvent,2017-03-06 16:52:55+00:00,65468547,jd/tenacity,1101801,xmedeko,,,200315325,284457981,"+1 I am still novice in Python, so it seem's the `redo` solution is overkill. For me, the `f.call()` is well enough. IMHO it's just necessary to document such features.",{},,User,False
261,IssueCommentEvent,2018-07-09 13:28:59+00:00,65468547,jd/tenacity,2644,jd,,,336158126,403479067,"I wrote the comments while reviewing the patches, but I did not think it was worth any update at this stage so I went ahead and approved, that's why it merged. :)

I forgot to reply though. So yeah I think all function should take a `call_state` as argument, so we're sure everybody gets as much information as possible so we're not limiting extendability.

`retry_state` sounds like a better named to export it, since yeah, `call_state` is a bit too much generic.",{},OWNER,User,False
268,IssueCommentEvent,2016-06-10 08:20:45+00:00,9954780,keis/base58,125062,keis,,,159549427,225121352,"Just like the base64 module it's intended to be used with bytes arguments and not str() because the encoding is defined in terms of byte level manipulation.

But I'll give you that the error message is horrible",{},,User,False
276,IssueCommentEvent,2017-04-20 16:45:19+00:00,5450742,klen/pylama,2354108,coveralls,,,223050755,295808559,"
[![Coverage Status](https://coveralls.io/builds/11167643/badge)](https://coveralls.io/builds/11167643)

Coverage remained the same at 77.049% when pulling **f9749dab8f75f55293bb9e336fb9293aa262823b on diraol:fix-96-pydocstyle_v2** into **5ec2927f332708c76103bf199d05094c8a92badf on klen:develop**.
",{},,User,False
280,IssueCommentEvent,2015-07-18 07:00:21+00:00,4946406,mher/flower,221256,asmodehn,,,95792638,122506115,"OK I think I found the reason.
There are both : 
`--conf` option : accept a filename for flower configuration
`--config` option : accept a module for celery configuration

A little confusing... IMHO it would be nicer if we could merge both configs somehow...",{},,User,False
288,IssueCommentEvent,2016-08-10 22:30:05+00:00,4946406,mher/flower,14282772,astewart-twist,,,23775184,239024720,+1,{},,User,False
289,IssueCommentEvent,2017-07-20 14:51:53+00:00,4946406,mher/flower,10432807,Datta1993,,,242747406,316728057,This is not an issue. ,{},,User,False
294,IssueCommentEvent,2016-05-28 11:32:45+00:00,4946406,mher/flower,691049,mher,,,151996491,222303982,"Merged, thanks!",{},,User,False
296,IssueCommentEvent,2015-07-31 01:08:14+00:00,4946406,mher/flower,691049,mher,,,98135359,126533992,"Refreshing the dashboard (there is a ""Refresh"" button on the Dashboard page) should eliminate ""Unable to get stats for xxx worker"" errors.
",{},,User,False
300,IssueCommentEvent,2016-02-27 06:57:56+00:00,4946406,mher/flower,691049,mher,,,134193507,189589919,"Fixed, thanks!",{},,User,False
310,IssueCommentEvent,2017-12-28 14:42:54+00:00,95191952,rainx/pytdx,16535798,laowalter,,,284927531,354298836,我的iptables 封了pytdx的api.connect()，有谁知道怎么些规则么？（Sorry貌似和pytdx程序无关）,{},NONE,User,False
312,IssueCommentEvent,2017-09-01 08:42:41+00:00,95191952,rainx/pytdx,101971,rainx,,,254513681,326525284,"看了一下，主要的问题在于这里
因为不确定这里应该是4个bytes还是变长的使用get_price获取，所以目前的解决方案是发现股票的价格为空的时候，就使用get_price, 否则使用 4 bytes , 目前看来还是可以的，如果有更好的方法，后续再进行改进

```
            # 不确定这里应该是用 get_price 跳过还是直接跳过4个bytes
            if price == 0 and last_close_diff == 0 and open_diff == 0 and high_diff == 0 and low_diff == 0:
                # 这个股票当前应该无法获取信息, 这个时候，这个值一般是100
                reversed_bytes0 = get_price(body_buf, pos)
            else:
                reversed_bytes0 = body_buf[pos: pos + 4]
                pos += 4
```",{},OWNER,User,False
314,IssueCommentEvent,2018-01-17 09:38:37+00:00,95191952,rainx/pytdx,19375167,tlhbjfunny,,,289184985,358249273,要一份。谢谢！,{},NONE,User,False
