,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_id,pr_node_id,pr_title,pr_state,pr_locked,pr_number,pr_body,pr_issue_url,pr_merged_at,pr_closed_at,pr_updated_at,pr_commits,pr_additions,pr_deletions,pr_changed_files,pr_author_association,pr_assignees,pr_requested_reviewers,pr_requested_teams,pr_merged_by_login,pr_merged_by_id,pr_merged_by_type,pr_merged_by_site_admin,pr_label,pr_patch_url,pr_commits_url
22,PullRequestEvent,2018-08-07 16:14:46+00:00,8387179,uiri/toml,7730740,jkarns275,,,206752633,MDExOlB1bGxSZXF1ZXN0MjA2NzUyNjMz,Added support for encoding of tuples.,open,False,179,"Right now tuples will are encoded using a to string call (I think - that is the behavior I observed), this just makes tuples get encoded as lists, so they can be decoded.",https://api.github.com/repos/uiri/toml/issues/179,,,2018-08-07T16:14:46Z,1,1,0,1,NONE,[],[],[],,,,,[],https://github.com/uiri/toml/pull/179.patch,https://api.github.com/repos/uiri/toml/pulls/179/commits
24,PullRequestEvent,2015-07-11 18:15:20+00:00,1673145,FSX/misaka,64273,FSX,,,2857774,,It should be possible to disable smartypants,closed,False,26,"I can't seem to figure out how to disable smartypants processing in misaka. I've added a unit test which fails on my machine. Can you verify that this is an issue, and fix it? Thank you!",https://api.github.com/repos/FSX/misaka/issues/26,,2015-07-11T18:15:19Z,2015-07-11T18:15:19Z,1,9,3,1,[],[],[],[],,,,,[],https://github.com/FSX/misaka/pull/26.patch,https://api.github.com/repos/FSX/misaka/pulls/26/commits
40,PullRequestEvent,2017-03-18 21:49:10+00:00,55258005,jopohl/urh,18219846,jopohl,,,111351617,,"Remove ""Path"" key from .desktop file",closed,False,208,"As per [the Desktop Entry spec](https://specifications.freedesktop.org/desktop-entry-spec/latest/ar01s05.html#key-path), the ""Path"" key should be the working directory to run from. As this is unnecessary, simply replace with ""Exec"" key.",https://api.github.com/repos/jopohl/urh/issues/208,2017-03-18T21:49:10Z,2017-03-18T21:49:10Z,2017-03-18T21:49:10Z,1,2,3,1,[],[],[],[],jopohl,18219846,User,False,[],https://github.com/jopohl/urh/pull/208.patch,https://api.github.com/repos/jopohl/urh/pulls/208/commits
49,PullRequestEvent,2017-01-26 17:49:53+00:00,55258005,jopohl/urh,18219846,jopohl,,,103355687,,Macosxfixes,closed,False,117,,https://api.github.com/repos/jopohl/urh/issues/117,2017-01-26T17:49:52Z,2017-01-26T17:49:52Z,2017-01-26T17:49:53Z,5,441,381,3,[],[],[],[],jopohl,18219846,User,False,[],https://github.com/jopohl/urh/pull/117.patch,https://api.github.com/repos/jopohl/urh/pulls/117/commits
73,PullRequestEvent,2017-07-13 06:00:09+00:00,55258005,jopohl/urh,18219846,jopohl,,,130292176,,Bugfix for participant assignment when loading project with hidden messages,open,False,308,"This PR fixes a bug where participants do get assigned properly to previously hidden messages, when loading a project.",https://api.github.com/repos/jopohl/urh/issues/308,,,2017-07-13T06:00:08Z,1,87,13,4,[],[],[],[],,,,,[],https://github.com/jopohl/urh/pull/308.patch,https://api.github.com/repos/jopohl/urh/pulls/308/commits
105,PullRequestEvent,2016-08-08 12:46:33+00:00,27924304,cdent/gabbi,1222137,jasonamyers,,,80444775,,Fixing link to google,open,False,162,Signed-off-by: Jason Myers <jason@jasonamyers.com>,https://api.github.com/repos/cdent/gabbi/issues/162,,,2016-08-08T12:46:33Z,1,1,1,1,[],[],[],[],,,,,[],https://github.com/cdent/gabbi/pull/162.patch,https://api.github.com/repos/cdent/gabbi/pulls/162/commits
110,PullRequestEvent,2015-08-10 18:28:44+00:00,27924304,cdent/gabbi,3515,FND,,,42050523,,tweaked request/response output in verbose mode,open,False,82,,https://api.github.com/repos/cdent/gabbi/issues/82,,,2015-08-10T18:28:44Z,2,3,1,1,[],[],[],[],,,,,[],https://github.com/cdent/gabbi/pull/82.patch,https://api.github.com/repos/cdent/gabbi/pulls/82/commits
209,PullRequestEvent,2016-08-05 02:02:42+00:00,6007295,fxsjy/jieba,167837,fxsjy,,,80049113,,Bugfix for HMM=False in parallelism.,closed,False,382,"After enabling parallelism, `cut(xxx, HMM=False)` would cause a fatal error:

```
(lab-py2.7) ➜  parallel python test_disable_hmm.py 
Building prefix dict from the default dictionary ...
Loading model from cache /var/folders/v7/1xg0qm2s43x05khlrv7c4g5w0000gn/T/jieba.cache
Loading model cost 0.531 seconds.
Prefix dict has been built succesfully.
Traceback (most recent call last):
  File ""test_disable_hmm.py"", line 16, in <module>
    cuttest(""这是一个伸手不见五指的黑夜。我叫孙悟空，我爱北京，我爱Python和C++。"")
  File ""test_disable_hmm.py"", line 10, in cuttest
    for word in result:
  File ""/Users/haoxun/Project/jieba/jieba/__init__.py"", line 543, in _pcut
    result = pool.map(_lcut_no_hmm, parts)
NameError: global name '_lcut_no_hmm' is not defined
```",https://api.github.com/repos/fxsjy/jieba/issues/382,2016-08-05T02:02:41Z,2016-08-05T02:02:41Z,2016-08-05T02:02:41Z,1,99,0,2,[],[],[],[],fxsjy,167837,User,False,[],https://github.com/fxsjy/jieba/pull/382.patch,https://api.github.com/repos/fxsjy/jieba/pulls/382/commits
231,PullRequestEvent,2017-07-02 00:12:05+00:00,95264151,gabfl/vault,8358050,gabfl,,,128486737,,Improve auto locking coverage,closed,False,6," - Check auto locking after all user inputs
 - Check auto locking after a user hits `^c` when on an input",https://api.github.com/repos/gabfl/vault/issues/6,2017-07-02T00:12:05Z,2017-07-02T00:12:05Z,2017-07-02T00:12:05Z,1,81,42,1,[],[],[],[],gabfl,8358050,User,False,[],https://github.com/gabfl/vault/pull/6.patch,https://api.github.com/repos/gabfl/vault/pulls/6/commits
238,PullRequestEvent,2016-08-29 01:33:45+00:00,65468547,jd/tenacity,970458,harlowja,,,83034598,,Add built-in trace logging,open,False,20,,https://api.github.com/repos/jd/tenacity/issues/20,,,2016-08-29T01:33:44Z,1,46,1,2,[],[],[],[],,,,,[],https://github.com/jd/tenacity/pull/20.patch,https://api.github.com/repos/jd/tenacity/pulls/20/commits
241,PullRequestEvent,2018-08-07 17:26:02+00:00,65468547,jd/tenacity,6826729,jnaulty,,,206771240,MDExOlB1bGxSZXF1ZXN0MjA2NzcxMjQw,python2 bdist_rpm build fix #88,open,False,133,"to test on centos build with python2 and python3

e.g.
python2:
`python setup.py bdist_rpm --python /usr/bin/python2`
python3:
`python setup.py bdist_rpm --python /usr/bin/python3`",https://api.github.com/repos/jd/tenacity/issues/133,,,2018-08-07T17:26:02Z,1,15,0,1,NONE,[],[],[],,,,,[],https://github.com/jd/tenacity/pull/133.patch,https://api.github.com/repos/jd/tenacity/pulls/133/commits
244,PullRequestEvent,2016-12-13 10:16:08+00:00,65468547,jd/tenacity,542613,bersace,,,95040905,,Retry coroutines,open,False,37,"Hi,

This PR ports https://github.com/rholder/retrying/pull/64 to tenacity. Thanks for the fork. The codebase is really clean.

It's a bit tricky to implement retry on coroutines. I did this by extracting the calling (aka attempt) and sleep logic from the retry control loop. This is done by using a generator. The control loop generate instructions (attempt, sleep or return), it's up to the wrapping code to do the actual IO, asynchronously or not.

I'm actually not very proud of this. Supporting old python versions and sync/async is a bit hackish. I'd be glad to hear your opinion on this contribution. Until it's mergeable, i wish :)

Regards,",https://api.github.com/repos/jd/tenacity/issues/37,,,2016-12-13T10:16:07Z,1,130,2,4,[],[],[],[],,,,,[],https://github.com/jd/tenacity/pull/37.patch,https://api.github.com/repos/jd/tenacity/pulls/37/commits
252,PullRequestEvent,2015-08-24 13:52:14+00:00,30243627,klen/muffin,90699,klen,,,43047890,,fix gunicorn worker to works with unix sock files,closed,False,7,"I try to deploy my application with nginx and muffin with sock file, but it raised this error:
```python
  File ""/home/arcoiro/venv/lib/python3.4/site-packages/aiohttp/worker.py"", line 81, in _run
    handler = self.make_handler(self.wsgi, *sock.cfg_addr)
TypeError: make_handler() takes 4 positional arguments but 11 were given
```
I start the application with this command (or something like this)
```bash
$ muffin my_app run --bind unix:my_sock.sock
```
This changes in muffin gunicorn worker solved it to me.",https://api.github.com/repos/klen/muffin/issues/7,2015-08-24T13:52:13Z,2015-08-24T13:52:13Z,2015-08-24T13:52:14Z,1,5,4,1,[],[],[],[],klen,90699,User,False,[],https://github.com/klen/muffin/pull/7.patch,https://api.github.com/repos/klen/muffin/pulls/7/commits
287,PullRequestEvent,2018-01-02 06:56:33+00:00,95191952,rainx/pytdx,6207775,JaysonAlbert,,,160681895,,change asyncio.coroutine to async def,open,False,124,"https://github.com/JaysonAlbert/tdx/blob/d7c56706a2cd8ab7f90918bc23ae67c81a14fc2c/tdx/main.py#L50

我这里用历史分笔合成分钟数据测试了一下，拿一年左右的数据大概加速不到5倍。目前的情况是，拿的历史数据越久加速比越高，但是数据超过一年多就会面临一个问题，select的文件描述符数量会超载报错。接下来应该是要去连接池那里限制下链接数目，看能不能解决这个问题。",https://api.github.com/repos/rainx/pytdx/issues/124,,,2018-01-02T06:56:33Z,1,22,26,3,CONTRIBUTOR,[],[],[],,,,,[],https://github.com/rainx/pytdx/pull/124.patch,https://api.github.com/repos/rainx/pytdx/pulls/124/commits
