,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,issue_id,issue_comment_id,issue_comment_body,issue_comment_reactions,actor_repo_association,actor_type,actor_site_admin_status
1,IssueCommentEvent,2015-12-17 23:54:18+00:00,20513123,kn/slack,33916,chadgh,,,92693970,165618755,I think the `icon_url` can just be any old web accessible url. ,{},,User,False
11,IssueCommentEvent,2017-04-22 16:35:38+00:00,7470121,wuub/rxv,588857,wuub,,,210333880,296385325,I botched a conflict resolution :) I'll fix it in master. ,{},,User,False
13,IssueCommentEvent,2016-01-29 14:37:12+00:00,2782546,hobu/mgrs,87751,hobu,,,129778569,176785413,Thanks for the patch in #13. I will issue a new release to PyPi,{},,User,False
16,IssueCommentEvent,2016-03-30 15:23:45+00:00,54391698,jd/pifpaf,2644,jd,,,144327916,203486261,@sileht Can you also add Ceph in README.rst please?,{},,User,False
21,IssueCommentEvent,2017-08-09 22:14:06+00:00,8387179,uiri/toml,23385761,jmholla,,,246884424,321396171,"There is a workaround for this. Use unicode characters:
{ : \u007b
} : \u007d",{},,User,False
29,IssueCommentEvent,2017-10-06 03:06:23+00:00,69408336,MrOlm/drep,13424205,MrOlm,,,262277928,334646644,"Thank you for the log. This is strange- I'm not sure yet what the problem is.

Could you show me a list of what is in the folder:

`...test_drep_out/data/MASH_files/`

As well we as what is in the folder:

`...test_drep_out/data/MASH_files/sketches/`

?

Also, please let me know if any of the files in either of those folders is empty. I'm trying to figure out where Mash is messing up... thanks!

-Matt",{},OWNER,User,False
30,IssueCommentEvent,2015-05-17 00:37:12+00:00,2918192,epsy/clize,1224325,edk0,,,74243760,102715852,"2 is trivial to do already.

3 mixes ways of finding things unnecessarily: you could pass the name of the module in setuptools entry-point syntax, for example, and not have to iterate over a module's contents. This way, it also hints at being able to add commands without importing their modules, but wouldn't actually enable that.

4 requires that modules are only ever invoked from one __main__, which is not guaranteed to be true",{},,User,False
40,IssueCommentEvent,2016-09-12 15:33:53+00:00,46566669,jaraco/irc,308610,jaraco,,,142110371,246387424,"Regarding the scheduler, I've started work on extracting out the scheduler, but as soon as I did, I ran up against the client's own use of the scheduler. In particular, the `set_keepalive` method calls `execute_every` to cause the call to be invoked periodically. Without some sort of scheduler in place, this function will fail. Therefore, the implementation has an intrinsic dependency on a scheduler, so it seems not possible to leave the scheduler as an implementation detail of the consumer.",{},,User,False
41,IssueCommentEvent,2017-02-25 11:41:19+00:00,55258005,jopohl/urh,18219846,jopohl,,,210227182,282478625,"Glad the native backend is working for you now. :+1: 

Gnuradio backend for windows will be fixed in: https://github.com/jopohl/urh/pull/147, which is nearly done. New release should be ready today or tomorrow.",{},,User,False
44,IssueCommentEvent,2018-07-14 12:37:44+00:00,55258005,jopohl/urh,18219846,jopohl,,,341227143,405021161,You're welcome!,{},OWNER,User,False
49,IssueCommentEvent,2017-05-12 07:51:07+00:00,55258005,jopohl/urh,18219846,jopohl,,,227924903,301008922,fixed with [version 1.6.3](https://github.com/jopohl/urh/releases/tag/v1.6.3),{},,User,False
