,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,issue_action,issue_title,issue_labels,issue_assignees,issue_count,issue_body,issue_reactions,issue_reason
5,IssuesEvent,2018-08-25 03:35:20+00:00,73567304,ofek/bit,32176650,bjarnemagnussen,,,opened,estimate_tx_fee() not working correctly for multisig,[],[],0,"The function estimate_tx_fee() was not edited accordingly to allow correct fee estimation for multisig keys. I just published a pull request for segwit functionality and the same holds true for segwit.

Maybe someone has any good ideas to allow estimate_tx_fee to calculate a correct fee. I will also try to work on it in the near future.",{},{}
21,IssuesEvent,2017-04-12 23:46:37+00:00,8387179,uiri/toml,364765,uiri,,,closed,TOML emitter is wrong?,"[{'id': 29550986, 'url': 'https://api.github.com/repos/uiri/toml/labels/bug', 'name': 'bug', 'color': 'fc2929', 'default': True}]",[],1,"This seems incorrect:

``` python
>>> import toml
>>> m = {'a': {}, 'b': {}}
>>> toml.dumps(m)
''
```

I would have expected:

```
[a]

[b]

```

I'm not super familiar with all the edge cases of the TOML format so perhaps this is expected, but it seems weird to say a Map of Empty Map's becomes equivalent to empty string.
",{},{}
22,IssuesEvent,2017-07-31 21:05:35+00:00,8387179,uiri/toml,23385761,jmholla,,,opened,ERROR with braces in array of strings,[],[],0,"When parsing an array of strings where strings have open braces, it can fail quietly and return bad data, or eventually throws an error if there are enough open braces in a string. I've attached some examples (It says txt, but it's python code). The last example will throw an exception (It has three open braces).

[toml_bug.txt](https://github.com/uiri/toml/files/1188830/toml_bug.txt)",{},{}
62,IssuesEvent,2017-09-26 19:24:08+00:00,55258005,jopohl/urh,20975463,romeojulietthotel,,,closed,Clean and tighten the build environment.,[],[],4,"_Please use this template for bug reports. If you have a feature request or question just delete everything and write as you like._
## Expected Behavior

Request to clean up warnings,

## Actual Behavior

Lots of warnings and other stuff that seems to be noise to my eyes.

## Steps to Reproduce the Problem

  1.  `python3 setup.py install --without-hackrf --without-rtlsdr --without-airspy --without-usrp`
  2.
  3.

## Platform Specifications

  - Python Version: python 3.6.2
  - Operating System: debian stretch
  - Version of URH: git master
  - URH was installed: __from source__ 

Examples (not complete):

`cc1plus: warning: command line option ‘-Wstrict-prototypes’ is valid for C/ObjC but not for C++`

```bundled/zeromq/tweetnacl/src/tweetnacl.c: In function ‘vn’:```
```bundled/zeromq/tweetnacl/src/tweetnacl.c:9:31: warning: comparison between signed and unsigned integer expressions [-Wsign-compare]```
```#define FOR(i,n) for (i = 0;i < n;++i)```

```zmq/backend/cython/message.c: In function ‘__pyx_pf_3zmq_7backend_6cython_7message_5Frame_18set’:```
```zmq/backend/cython/message.c:3867:16: warning: variable ‘__pyx_v_buf’ set but not used [-Wunused-but-set-variable]```
```const char * __pyx_v_buf;```

> /tmp/easy_install-7j3ui_0n/pyzmq-17.0.0b1/temp/timer_createlimufwkn.c: In function ‘main’:
> /tmp/easy_install-7j3ui_0n/pyzmq-17.0.0b1/temp/timer_createlimufwkn.c:2:5: warning: implicit declaration of function ‘timer_create’ [-Wimplicit-function-declaration]
>      timer_create();
>      ^~~~~~~~~~~~
> build/temp.linux-x86_64-3.6/tmp/easy_install-7j3ui_0n/pyzmq-17.0.0b1/temp/timer_createlimufwkn.o: In function `main':
> timer_createlimufwkn.c:(.text+0x15): undefined reference to `timer_create'
> collect2: error: ld returned 1 exit status
> no timer_create, linking librt
> 
",{},{}
97,IssuesEvent,2017-07-08 16:55:02+00:00,65411376,lacava/few,6578458,lacava,,,closed,normalize feature transformations,"[{'id': 422794728, 'url': 'https://api.github.com/repos/lacava/few/labels/enhancement', 'name': 'enhancement', 'color': '84b6eb', 'default': True}]","[{'login': 'rgupta90', 'id': 23729965, 'avatar_url': 'https://avatars3.githubusercontent.com/u/23729965?v=3', 'gravatar_id': '', 'url': 'https://api.github.com/users/rgupta90', 'html_url': 'https://github.com/rgupta90', 'followers_url': 'https://api.github.com/users/rgupta90/followers', 'following_url': 'https://api.github.com/users/rgupta90/following{/other_user}', 'gists_url': 'https://api.github.com/users/rgupta90/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/rgupta90/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/rgupta90/subscriptions', 'organizations_url': 'https://api.github.com/users/rgupta90/orgs', 'repos_url': 'https://api.github.com/users/rgupta90/repos', 'events_url': 'https://api.github.com/users/rgupta90/events{/privacy}', 'received_events_url': 'https://api.github.com/users/rgupta90/received_events', 'type': 'User', 'site_admin': False}]",4,normalize feature transformations automatically before feeding them into the ML fit method. store the transformer so that it can be used in prediction/transformation as well. ,{},{}
100,IssuesEvent,2017-09-14 16:56:23+00:00,4295983,loli/medpy,832894,loli,,,closed,Python3 incompatibility in metric_/histogram.py test,"[{'id': 135156895, 'url': 'https://api.github.com/repos/loli/medpy/labels/python3%20issue', 'name': 'python3 issue', 'color': 'bfdadc', 'default': False}]",[],2,"Lines

```
print method_str
print h1
print h2
```

do not follow Python3 syntax.",{},{}
106,IssuesEvent,2017-01-02 06:06:27+00:00,74004167,Kyria/EsiPy,815037,Regner,,,opened,Character names issue,[],[],0,"Not sure if this is an issue with ESI, PySwagger, or EsiPy.

I am simply attempting to convert some character IDs to names. Here is some code to reproduce the problem I am having:

```python
from esipy import App, EsiClient

app = App.create('https://esi.tech.ccp.is/latest/swagger.json')
client = EsiClient()

client.request(app.op['get_characters_names'](character_ids=[90000001]))
```

```
Traceback (most recent call last):
  File ""/Users/regnerblokandersen/Library/Application Support/IntelliJIdea2016.3/python/helpers/pydev/pydevd.py"", line 1588, in <module>
    globals = debugger.run(setup['file'], None, None, is_module)
  File ""/Users/regnerblokandersen/Library/Application Support/IntelliJIdea2016.3/python/helpers/pydev/pydevd.py"", line 971, in run
    pydev_imports.execfile(file, globals, locals)  # execute the script
  File ""/Users/regnerblokandersen/Library/Application Support/IntelliJIdea2016.3/python/helpers/pydev/_pydev_imps/_pydev_execfile.py"", line 18, in execfile
    exec(compile(contents+""\n"", file, 'exec'), glob, loc)
  File ""/Users/regnerblokandersen/git/personal/capsuleers/repro_case.py"", line 6, in <module>
    client.request(app.op['get_characters_names'](character_ids=[90000001]))
  File ""/Users/regnerblokandersen/virtual_envs/capsuleers/lib/python3.6/site-packages/pyswagger/spec/v2_0/objects.py"", line 283, in __call__
    _convert_parameter(final(p))
  File ""/Users/regnerblokandersen/virtual_envs/capsuleers/lib/python3.6/site-packages/pyswagger/spec/v2_0/objects.py"", line 274, in _convert_parameter
    params[i].extend([tuple([p.name, v]) for v in c.to_url()])
  File ""/Users/regnerblokandersen/virtual_envs/capsuleers/lib/python3.6/site-packages/pyswagger/primitives/_array.py"", line 79, in to_url
    return [str(self)]
  File ""/Users/regnerblokandersen/virtual_envs/capsuleers/lib/python3.6/site-packages/pyswagger/primitives/_array.py"", line 70, in __str__
    raise SchemaError('Unsupported collection format when converting to str: {0}'.format(self.__collection_format))
pyswagger.errs.SchemaError: Unsupported collection format when converting to str: None
```",{},{}
109,IssuesEvent,2015-08-14 14:05:08+00:00,18603138,WoLpH/mt940,7287076,batjko,,,opened,"Parsing error: ""type 'exceptions.AttributeError'""",[],[],0,"This is an error introduced by the fix in 08f52ab.

As mentioned in #12, I upgraded the package, but now I'm getting the following error for every file it tries to parse:

`<type 'exceptions.AttributeError'>`

Not sure where it occurs or why.
Let me know what I can get you to help pinpoint this regression.

Cheers.

",{},{}
123,IssuesEvent,2015-06-24 16:03:03+00:00,27924304,cdent/gabbi,34498,cdent,,,closed,prefix functionality needs to be available in $NETLOC,[],[],0,"Or at least that seems about right. Say you are testing a location header:

```
      response_headers:
          location: $SCHEME://$NETLOC/v1/archive_policy/%E2%9C%94%C3%A9%C3%B1%E2%98%83
```

If you use a prefix with that test that will not match. The easiest way to get the right result (while maintaining backwards compatibility with existing tests) would be for $NETLOC to include prefix. This is semantically awkward but useful.

Not sure.",{},{}
259,IssuesEvent,2015-03-31 00:32:45+00:00,4946406,mher/flower,305380,hamiltont,,,opened,No such file or directory: workers.html,[],[],0,"I recently did a `rm -rf env`, then created a new virtualenv and did `pip install -r requirements.txt`. Suddenly getting this error: 

```
flower   -> 0.7.3
software -> celery:3.1.17 (Cipater) kombu:3.0.24 py:2.7.6
            billiard:3.3.0.19 py-amqp:1.4.6
platform -> system:Darwin arch:64bit imp:CPython
loader   -> celery.loaders.app.AppLoader
settings -> transport:amqp results:amqp://guest:guest@192.168.59.103:49212//

BROKER_URL: 'amqp://guest:********@192.168.59.103:49212//'
CELERY_RESULT_BACKEND: u'amqp://guest:guest@192.168.59.103:49212//'

Traceback (most recent call last):
  File ""/Users/hamiltont/Documents/WebJuice/env/lib/python2.7/site-packages/tornado/web.py"", line 1346, in _execute
    result = method(*self.path_args, **self.path_kwargs)
  File ""/Users/hamiltont/Documents/WebJuice/env/lib/python2.7/site-packages/tornado/web.py"", line 2626, in wrapper
    return method(self, *args, **kwargs)
  File ""/Users/hamiltont/Documents/WebJuice/env/lib/python2.7/site-packages/flower/views/workers.py"", line 16, in get
    if refresh:
  File ""/Users/hamiltont/Documents/WebJuice/env/lib/python2.7/site-packages/flower/views/__init__.py"", line 30, in render
    error_trace = """"
  File ""/Users/hamiltont/Documents/WebJuice/env/lib/python2.7/site-packages/tornado/web.py"", line 664, in render
    html = self.render_string(template_name, **kwargs)
  File ""/Users/hamiltont/Documents/WebJuice/env/lib/python2.7/site-packages/tornado/web.py"", line 768, in render_string
    t = loader.load(template_name)
  File ""/Users/hamiltont/Documents/WebJuice/env/lib/python2.7/site-packages/tornado/template.py"", line 343, in load
    self.templates[name] = self._create_template(name)
  File ""/Users/hamiltont/Documents/WebJuice/env/lib/python2.7/site-packages/tornado/template.py"", line 370, in _create_template
    with open(path, ""rb"") as f:
IOError: [Errno 2] No such file or directory: '/Users/hamiltont/Documents/WebJuice/env/lib/python2.7/site-packages/flower/templates/workers.html'
```

Can confirm the file is missing: 

```
ls env/lib/python2.7/site-packages/flower/templates/
404.html	broker.html	error.html	navbar.html	tasks.html
base.html	dashboard.html	monitor.html	task.html	worker.html
```",{},{}
