,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,issue_id,issue_comment_id,issue_comment_body,issue_comment_reactions,actor_repo_association,actor_type,actor_site_admin_status
12,IssueCommentEvent,2016-01-19 08:42:50+00:00,8387179,uiri/toml,6643536,Jenselme,,,105963000,172776743,"> - The test toml files should be sent as a patch to the toml-test suite maintained by @BurntSushi rather than be included here

I never meant to include them. I guess I did a wrong `git add`.

> - load_inline_object doesn't have a return statement but its return value is used in a conditional in loads. Is this intentional? Why?

I guess it was needed once but not any more. Removed.

> - I think the checks on the status to continue are unnecessary since those `continue` statements are the last statements in those loops

Indeed, status removed

> - I feel like the algorithm in load_array to match different parenthesis groups could be more efficient/concise. Perhaps using regular expressions?

I gave it a try here: https://github.com/Jenselme/toml/tree/re-inline-objects-in-array and it got me thinking: what if we have this (a closing curly bracket in a string in an inline object in an array):
```
array_str = [ {a = ""I * } testing"", b = ""Yolo""} ]
```

I just updated my code to handle this, but I don't see how to support it with a regexp. Do you have an idea?",{},,User,False
30,IssueCommentEvent,2017-03-22 08:01:53+00:00,55258005,jopohl/urh,18219846,jopohl,,,214864885,288324759,@JamesonBeebe additional to lowering the gain as @andynoack mentioned you may also try tuning to another center frequency. 433.92 MHz may be a good start.,{},,User,False
32,IssueCommentEvent,2017-03-01 20:40:49+00:00,55258005,jopohl/urh,18283204,andynoack,,,210965116,283463100,"I see. Should be possible somehow, I will discuss this with @jopohl
",{},,User,False
41,IssueCommentEvent,2018-02-26 19:31:47+00:00,78888191,kislyuk/yq,862013,kislyuk,,,300305145,368621274,"If you want to use this package, you need to `pip install yq` followed by `yq '.dependencies += [""new thing""]' package.yaml`.",{},OWNER,User,False
47,IssueCommentEvent,2016-04-25 22:50:32+00:00,18603138,WoLpH/mt940,270571,WoLpH,,,150708692,214554845,"Hi Sebastian,

The test directories are simply tests copied from other parsers so I could be sure that all code is tested as well as possible. The local tests are simply outside of that.

Thanks for the patch, looks really great!",{},,User,False
51,IssueCommentEvent,2016-02-18 13:16:39+00:00,20479128,amol-/depot,601423,amol-,,,133396995,185712882,"Ok, test units are now passing again: https://travis-ci.org/amol-/depot/builds/110114065
Seems it was related to the change of system architecture in travis.

Regarding the pull request, I think such a change should go in `FileStorage.fileinfo` if we want to have it, so that we can avoid every storage backend having to perform such a check by itself.

Also I suggest we change _""unknown""_ to _""file""_, _""unnamed""_ or something similar. In case the filename is exposed to users _""unknown""_ sounds as something broken, while the file is fine it's just that is unnamed. That's just my feeling by the way :D",{},,User,False
55,IssueCommentEvent,2018-08-01 07:09:25+00:00,93209191,cemsbr/yala,8655789,codecov-io,,,346473582,409472945,"# [Codecov](https://codecov.io/gh/cemsbr/yala/pull/126?src=pr&el=h1) Report
> Merging [#126](https://codecov.io/gh/cemsbr/yala/pull/126?src=pr&el=desc) into [master](https://codecov.io/gh/cemsbr/yala/commit/3b186578f82d0ec02f93befdd3771093beca6db1?src=pr&el=desc) will **decrease** coverage by `0.73%`.
> The diff coverage is `n/a`.

[![Impacted file tree graph](https://codecov.io/gh/cemsbr/yala/pull/126/graphs/tree.svg?height=150&width=650&token=SNtkPj7xgt&src=pr)](https://codecov.io/gh/cemsbr/yala/pull/126?src=pr&el=tree)

```diff
@@            Coverage Diff            @@
##           master    #126      +/-   ##
=========================================
- Coverage   90.84%   90.1%   -0.74%     
=========================================
  Files           5       5              
  Lines         273     273              
  Branches       42      42              
=========================================
- Hits          248     246       -2     
- Misses         16      17       +1     
- Partials        9      10       +1
```


| [Impacted Files](https://codecov.io/gh/cemsbr/yala/pull/126?src=pr&el=tree) | Coverage Δ | |
|---|---|---|
| [yala/main.py](https://codecov.io/gh/cemsbr/yala/pull/126/diff?src=pr&el=tree#diff-eWFsYS9tYWluLnB5) | `90.9% <0%> (-2.6%)` | :arrow_down: |

------

[Continue to review full report at Codecov](https://codecov.io/gh/cemsbr/yala/pull/126?src=pr&el=continue).
> **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta)
> `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data`
> Powered by [Codecov](https://codecov.io/gh/cemsbr/yala/pull/126?src=pr&el=footer). Last update [3b18657...769ff8c](https://codecov.io/gh/cemsbr/yala/pull/126?src=pr&el=lastupdated). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments).
",{},NONE,User,False
63,IssueCommentEvent,2018-01-21 01:12:22+00:00,72066935,cs01/gdbgui,5715368,cs01,,,289707124,359215409,"That is a good question. When I merge the changes, I can either maintain each one of your commits, or I can squash them all into a single commit. I always do the latter, so feel free to push as many commits as you want -- it makes no extra work for me.

Side note: even though you responded via email, it added a comment to the pull request that is publicly visible.",{},OWNER,User,False
79,IssueCommentEvent,2018-03-15 16:20:09+00:00,48198706,dschep/ntfy,1182361,ianwremmel,,,302574938,373435412,"ah, ok. thanks!

I tried that, but it didn't seem to like the multi backend config when I just ran `ntfy`. `python -m` is working though.

I'm getting the error below when the screen is locked now. I'll dig into that in the next few days.

```
28:31: execution error: Terminal got an error: Can’t get window 1 whose frontmost = true. Invalid index. (-1719)
28:31: execution error: Terminal got an error: Can’t get window 1 whose frontmost = true. Invalid index. (-1719)
```",{},NONE,User,False
81,IssueCommentEvent,2017-05-10 17:00:38+00:00,48198706,dschep/ntfy,667763,dschep,,,227746624,300546989,"Awesome! Thanks for the limit bump. I didn't know there was a clone app feature, that's perfect :smiley: ",{},,User,False
