,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,issue_id,issue_comment_id,issue_comment_body,issue_comment_reactions,actor_repo_association,actor_type,actor_site_admin_status
8,IssueCommentEvent,2017-10-10 18:15:42+00:00,54391698,jd/pifpaf,200878,sileht,,,264304136,335561666,"Indeed, this is something else that make my redis output wrong. If I start it manually I have the correct output. This change doesn't fix the issue neither. ",{},COLLABORATOR,User,False
9,IssueCommentEvent,2018-01-09 08:53:51+00:00,54391698,jd/pifpaf,2644,jd,,,287011821,356219643,Fix pep8,{},OWNER,User,False
17,IssueCommentEvent,2018-08-03 21:00:03+00:00,25983331,fnl/segtok,109501,fnl,,,347493759,410374951,Looks good - thank you for making this enhancement for noisy texts!,{},OWNER,User,False
24,IssueCommentEvent,2018-01-16 19:23:24+00:00,55258005,jopohl/urh,18219846,jopohl,,,288697789,358075262,"Thanks for sharing your solution @alfredgamulo . I added a message box with a link to this issue in #391 in case RTL-SDR error code -12 appears on Windows, so other users will be directed here.",{},OWNER,User,False
39,IssueCommentEvent,2017-09-26 11:20:42+00:00,78888191,kislyuk/yq,28359531,bubbleattic,,,260124748,332167511,"I created bug to jq: https://github.com/stedolan/jq/issues/1486

FYI if '-y' specified yq is already adding in newlines.
input_payload = ""\n"".join(json.dumps(doc, cls=JSONDateTimeEncoder) for doc in input_docs)

maybe just use exact same code if -y not specified that way its not workaround its consistent.
input_payload = ""\n"".join(json.dumps(doc, cls=JSONDateTimeEncoder) for doc in input_docs)
sys.stdout.write(input_payload)

None if examples i listed above will work due to jq bug.



",{},CONTRIBUTOR,User,False
46,IssueCommentEvent,2017-11-14 16:36:30+00:00,4295983,loli/medpy,832894,loli,,,273848915,344317410,Let's dare the merge :),{},OWNER,User,False
48,IssueCommentEvent,2016-12-29 17:10:42+00:00,41905591,Ch00k/ffmpy,230214,Ch00k,,,197946857,269661141,Did you consider contributing to this project (e.g. by creating a merge request) instead of forking it?,{},,User,False
53,IssueCommentEvent,2016-03-07 16:32:09+00:00,27924304,cdent/gabbi,6932603,samueldmq,,,99207246,193332759,"I have a slightly more complex use case for this bug.

We have 3 entities: Car, House and User. In order to create a user, we will need to provide his Car's ID and his House's ID. There is no list operation available to get both his House and his Car in the same request, as suggested in jd's use case above for Metric.

It would be useful to have a way to access previous requests' response. I liked FND's idea. That way, we just would need to GET /cars first with ""persist: car"", then GET /houses with ""persist: house"", then use them as $RESPONSES[car] and $RESPONSES[house] when POSTing to /users.",{},,User,False
64,IssueCommentEvent,2017-03-02 23:36:46+00:00,72066935,cs01/gdbgui,326807,shi-yan,,,211547091,283818010,"in my opinion, this is a bug, or at least an enhancement gdbgui should do. 

ideally, gdbgui's command prompt should behave exactly the same as the native gdb's command prompt.

but in the above case, it doesn't.

the problem here is that gdbgui assumes that gdb's commands are not interactive. you provide a command, and you get an output.

but in the above case, the command in interactive. gdb will response to the initial command with a question, for which, you need to advice, answer yes or no.

but gdbgui treats the answer ""y"" as an invalid command input.


plus, the way I set breakpoints in an unloaded library should work, if it were the native gdb.
",{},,User,False
66,IssueCommentEvent,2018-06-13 02:46:23+00:00,72066935,cs01/gdbgui,3293064,gggin,,,283981605,396796387,"I do not know about cygwin and mingW, but I want to use this for cl.exe(Visual Stduio) compiled executable, maybe a new debug protocol or some way. ",{},NONE,User,False
86,IssueCommentEvent,2018-08-10 07:56:34+00:00,6007295,fxsjy/jieba,2479536,qxde01,,,348251252,412006563,能否加入对特殊符号分词支持呢，比如火星颜文字表情比如<(￣3￣)> ，这类字符在训练语料时是非常有用的,{},NONE,User,False
119,IssueCommentEvent,2016-08-30 17:33:46+00:00,18309543,glyph/txsni,856430,mithrandi,,,168368410,243517477,"Oh right, we're using `tox`, so `PYTHONPATH=.` will probably do completely the wrong thing.",{},,User,False
121,IssueCommentEvent,2015-06-29 16:50:19+00:00,1258258,gotcha/ipdb,251015,cclamb,,,28840606,116758551,"Guys, I can see the fix in ipdb, but it tests against nose having been loaded and when I'm running ipython notebooks nose modules *are* in fact loaded, so the output still redirects to the console in which the notebook is running rather than the notebook itself. I've commented out the fix locally (where the code runs the test 'if 'nose' in sys.modules.keys():' prior to defining io.stdout so that io.stdout is not redefined:

if 'nose' in sys.modules.keys():
        def update_stdout():
            # setup stdout to ensure output is available with nose
            # io.stdout = sys.stdout = sys.__stdout__
            pass

This does work in my local installation, but likely causes issues with nose tests, which was the initial source of this particular bug. I could very well be doing something wrong with ipython on my end, it's a stock installation via brew on yosemite, using the latest ipython and ipdb code installed via pip.

",{},,User,False
123,IssueCommentEvent,2016-02-25 22:34:44+00:00,1258258,gotcha/ipdb,327925,takluyver,,,136531974,189014564,"Bringing across my most useful comment after I had dug into this issue:



Sorry, fell off the radar. I've just dug into it, and I think the easiest sensible fix would be in ipdb. I fixed it in my local copy by making the set_trace() function look like this:

```python
def set_trace(frame=None):
    update_stdout()
    wrap_sys_excepthook()
    if frame is None:
        frame = sys._getframe().f_back
    p = Pdb(def_colors)
    p.set_trace(frame)
    p.shell.restore_sys_module_state()
```

The last line is the key bit - that will put sys.modules['__main__'] back to its previous value.

Perhaps we shouldn't be replacing the __main__ module when InteractiveShell is merely instantiated, but that would require much more delicate changes to address.
",{},,User,False
124,IssueCommentEvent,2015-11-20 16:08:28+00:00,1258258,gotcha/ipdb,4058103,kprussing,,,42409537,158445195,"The issue is that the `__package__` variable is not getting properly set to `None` per [PEP  366](http://legacy.python.org/dev/peps/pep-0366/).  It appears like this is specifically a Python 3 bug because the problem also appears in `pdb` but only in Python 3.  I've opened an issue [here](http://bugs.python.org/issue25682).

As a work around, you can either use Python 2 or simply inject `__package__ = None` at the top of your script while debugging.",{},,User,False
135,IssueCommentEvent,2016-04-03 22:12:43+00:00,5450742,klen/pylama,2354108,coveralls,,,145545613,205062872,"
[![Coverage Status](https://coveralls.io/builds/5646621/badge)](https://coveralls.io/builds/5646621)

Coverage remained the same at 77.292% when pulling **b63be42c3d23e28c7ee9656c4d1a12dc13cb04e9 on blueyed:unpin-install-requires** into **8248cda64d1f0af41d02b1e36733d530c883338c on klen:develop**.
",{},,User,False
148,IssueCommentEvent,2016-01-18 00:40:08+00:00,4946406,mher/flower,109422,rodrigopmatias,,,117140981,172400798,"@mher 

it was not necessary any customization of css, but it was defective , send a screenshot of what I can fix .",{},,User,False
149,IssueCommentEvent,2017-06-18 21:03:16+00:00,4946406,mher/flower,691049,mher,,,218157925,309302794,I'm not sure I understand the question correctly. Flower shows task info collected as Celery events. All tasks should be shown.,{},,User,False
150,IssueCommentEvent,2017-05-11 14:34:19+00:00,4946406,mher/flower,691049,mher,,,226056839,300808453,@joshuamcginnis this issue is fixed in the master version,{},,User,False
158,IssueCommentEvent,2017-07-28 07:41:20+00:00,95191952,rainx/pytdx,5428774,ifdandy,,,245934225,318584559,"@rainx 另外我在centos-6.6-Final，64bit，Python 2.7.5，获取的也是None。

Centos上的版本我是刚从git下载的。
api = TdxHq_API()
    if api.connect('101.227.73.20', 7709):
        log.info(""获取股票行情"")
        stocks = api.get_security_quotes([(1, ""600122"")])
        pprint.pprint(stocks)
        exit()

Print：
2017-07-28 15:36:16,427 - PYTDX - INFO - 获取股票行情
2017-07-28 15:36:16,427 - PYTDX - INFO - 获取股票行情
None",{},,User,False
159,IssueCommentEvent,2017-08-07 11:36:55+00:00,95191952,rainx/pytdx,11537812,yutiansut,,,243597646,320640669,@billwei19 @rainx 一般来说 6000条肯定足够了  要是不放心 可以再加一个判断 比如 拿到数据以后判断是不是9:30了  如果是的话就return结果 如果不是 继续叠加,{},,User,False
164,IssueCommentEvent,2015-03-23 19:02:55+00:00,1670404,smira/txZMQ,55211,smira,,,61056349,85148818,Release 0.7.4 with latest changes.,{},,User,False
